SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,AvgRollbackRtt,RemoteUpdateTxPrepareServiceTime,RemoteContentionProbability,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,LocalUpdateTxLocalServiceTime,AvgGetsPerWrTransaction,LocalUpdateTxLocalRollbackResponseTime,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,AvgCommitCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,LocalReadOnlyTxPrepareResponseTime,AvgPutsPerWrTransaction,PercentageWriteTransactions,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumAbortedTxDueToValidation,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,AvgNumNodesRollback,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgRemoteGetsPerWrTransaction,AvgCommitRtt,NumReadsBeforeWrite,LocalUpdateTxLocalRollbackServiceTime,AvgLockHoldTime,RemoteGetServiceTime,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,GMUClusteredGetCommandResponseTime,WaitedTimeInLocalCommitQueue,RemotePutExecutionTime,AvgLocalLockHoldTime,AvgNumNodesRemoteGet,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxTotalCpuTime,LocalUpdateTxLocalResponseTime,RemoteGetResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,LocalUpdateTxCommitServiceTime,RemoteUpdateTxPrepareResponseTime,PercentageSuccessWriteTransactions,WaitedTimeInRemoteCommitQueue,LocalUpdateTxRemoteRollbackResponseTime,ApplicationContentionFactor,LockContentionProbability,AvgRemoteLockHoldTime,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,RemoteUpdateTxCommitServiceTime,AvgNumNodesCompleteNotification,AvgCompleteNotificationAsync,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToNotLastValueAccessed,NumOwnedRdItemsInLocalPrepare,NumAbortedTxDueToWriteLock,TerminationCost,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgPrepareRtt,AvgNumNodesCommit,NumberOfGets,WriteSkewProbability,LocalContentionProbability,GMUClusteredGetCommandServiceTime,AvgReadOnlyTxDuration,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgPrepareAsync
16,180352,0,50,604,3,38,525867.7605662252,439025.79918000003,26.053656115107916,49441.44892218543,0.596884302052785,2.5393085568E8,2,100000,UNIFORM,0,0,283,0.0,4076,44150,34198,100,3662,0,424,402,31364.0,0,0,Not_Available,0.9280575539568345,30667,35,1,116,-30,33,436445,3333,96.0,0,Not_Available,1137,40671,292,0.0,0,Not_Available,0,3573,45016,1,34,0.0,523674.0,100,39106.0,474555,4491,345.0,45,1283,421,0.9235474006116208,382,0,0.0,0.0,39824,437480.0,5800,0,0,0,Not_Available,0,43.0,0,128988,Not_Available,3448,0,4167,0,4601,6302,41362,35,65400,0.0,0.0,Not_Available,437463,0.0,40,96,63206,96.0,0,0
17,180190,0,77,600,0,41,510525.92915166664,433427.25370129873,19.623433147632312,50015.73641,0.6131810742609135,2.5606856192E8,2,100000,UNIFORM,0,0,277,0.0,4456,44527,33945,100,3933,0,424,402,33492.0,0,0,Not_Available,0.8927576601671309,32737,35,0,121,-22,35,430624,3588,96.0,0,Not_Available,1276,41382,292,0.0,0,Not_Available,0,3421,42399,1,34,0.0,508188.0,100,39059.0,458487,4355,316.0,40,1465,398,0.8862629246676514,350,0,0.0,0.0,41158,431761.0,5830,0,0,0,Not_Available,0,29.0,0,127790,Not_Available,3466,0,4040,0,4818,6302,41224,35,67700,0.0,0.0,Not_Available,431747,0.0,40,98,65447,96.0,0,0
18,180121,0,64,607,1,40,512256.0703410214,428400.25628125,30.255296348314605,48037.79493574959,0.5193021323565595,2.491865376E8,2,100000,UNIFORM,0,0,283,0.0,3791,43075,34556,100,3060,0,424,402,30781.0,0,0,Not_Available,0.9101123595505618,30071,35,0,108,-24,33,425334,2707,96.0,0,Not_Available,1089,40853,296,0.0,0,Not_Available,0,3488,44170,1,34,0.0,509660.0,100,39452.0,461949,4386,329.0,39,1292,391,0.9046199701937406,340,0,0.0,0.0,40163,426595.0,5890,0,0,0,Not_Available,0,34.0,1,184795,Not_Available,3413,0,4066,0,4132,6302,40143,35,67100,0.0,0.0,Not_Available,426563,0.0,40,98,64862,96.0,0,0
19,180093,0,67,593,1,35,523062.32342833054,452341.55897014926,33.14177442528736,50321.018096121414,0.6081106486793433,2.4841799133333334E8,2,100000,UNIFORM,0,0,278,0.0,4592,44742,34777,100,4392,0,424,402,32418.0,0,0,Not_Available,0.9037356321839081,31722,35,2,125,-27,34,448261,4074,96.0,0,Not_Available,1419,41600,300,0.0,0,Not_Available,0,3549,44746,1,34,0.0,520447.0,100,39905.0,470439,4477,350.0,46,1464,410,0.8984848484848484,376,0,0.0,0.0,41024,449176.0,5780,0,0,0,Not_Available,0,31.0,0,120938,Not_Available,3484,0,4154,0,4951,6302,40981,35,66000,0.0,0.0,Not_Available,449158,0.0,40,102,63906,96.0,0,0
20,180148,0,66,614,0,38,504730.3701579804,461125.15809090907,21.89843732590529,48339.62563843648,0.5276396429914947,1.73785784E8,2,100000,UNIFORM,0,0,267,0.0,3833,43585,35887,100,4539,0,424,402,37028.0,0,0,Not_Available,0.9080779944289693,36262,35,1,116,-9,35,457221,4038,98.0,0,Not_Available,1417,42670,308,0.0,0,Not_Available,0,3326,42085,1,34,0.0,502641.0,100,40897.0,454588,4281,286.0,32,1406,374,0.9029411764705882,281,0,0.0,0.0,42805,458228.0,6040,0,0,0,Not_Available,0,17.0,0,111077,Not_Available,3425,0,3953,0,4190,6302,40493,35,68000,0.0,0.0,Not_Available,458212,0.0,40,107,66871,98.0,0,0
21,180163,0,57,597,1,46,521718.6855527638,429605.3667894737,24.866681883024253,48285.38286264656,0.583379850767938,2.395291456E8,2,100000,UNIFORM,0,0,278,0.0,4321,42832,34690,100,4390,0,424,402,30549.0,0,0,Not_Available,0.9186875891583453,29831,35,1,138,-30,34,426632,4117,96.0,0,Not_Available,1300,42390,294,0.0,0,Not_Available,0,3535,42281,1,34,0.0,519077.0,100,39750.0,471142,4463,348.0,49,1420,430,0.9128440366972477,381,0,0.0,0.0,42412,427597.0,5780,0,0,0,Not_Available,0,37.0,0,178433,Not_Available,3459,0,4139,0,4764,6302,39607,35,65400,0.0,0.0,Not_Available,427583,0.0,40,109,63250,96.0,0,0
22,180051,0,62,616,0,38,510050.65164935065,424905.8302419355,22.170646648044695,49156.46502922078,0.5574249699571932,2.0930208992E8,2,100000,UNIFORM,0,0,286,0.0,3522,44549,36258,100,3072,0,424,402,33997.0,0,0,Not_Available,0.9134078212290503,33257,35,0,131,-22,35,422342,2757,98.0,0,Not_Available,1187,42432,307,0.0,0,Not_Available,0,3402,45347,1,34,0.0,508047.0,100,41168.0,459208,4280,296.0,28,1289,365,0.9085545722713865,277,0,0.0,0.0,41760,423342.0,6030,0,0,0,Not_Available,0,18.0,0,121090,Not_Available,3438,0,3965,0,3880,6302,41539,35,67800,0.0,0.0,Not_Available,423322,0.0,40,109,66661,98.0,0,0
23,180146,0,48,610,0,45,515900.01558360655,442543.128375,26.056352773826458,51409.052465573775,0.5828138318658058,2.380353888E8,2,100000,UNIFORM,0,0,273,0.0,4470,45810,33951,100,4255,0,424,402,33221.0,0,0,Not_Available,0.9317211948790897,32510,35,0,116,-31,35,439317,3973,96.0,0,Not_Available,1379,41630,295,0.0,0,Not_Available,0,3619,47422,1,34,0.0,513661.0,100,38989.0,462578,4412,355.0,55,1420,395,0.9270516717325228,360,0,0.0,0.0,40434,440418.0,5720,0,0,0,Not_Available,0,46.0,0,124434,Not_Available,3435,0,4098,0,4925,6302,42983,35,65800,0.0,0.0,Not_Available,440403,0.0,40,101,63551,96.0,0,0
24,180253,0,46,625,1,35,515663.5090048,424801.23045652173,19.82193493635078,47914.3414576,0.5665731742368276,2.369511152E8,2,100000,UNIFORM,0,0,273,0.0,4453,42500,34732,100,4310,0,424,402,28911.0,0,0,Not_Available,0.9349363507779349,28224,35,0,134,-32,34,421925,4005,96.0,0,Not_Available,1372,41113,296,0.0,0,Not_Available,0,3478,43678,1,34,0.0,513332.0,100,39787.0,465720,4411,327.0,45,1448,415,0.9314456035767511,361,0,0.0,0.0,40598,422851.0,6060,0,0,0,Not_Available,0,48.0,0,125816,Not_Available,3428,0,4087,0,4825,6302,39652,35,67100,0.0,0.0,Not_Available,422829,0.0,40,95,64858,96.0,0,0
25,180385,0,76,614,0,40,501124.6012100977,428501.7866447368,21.228495890410958,47542.857267100975,0.51273990772813,2.0919523872E8,2,100000,UNIFORM,0,0,272,0.0,4219,42440,35885,100,4028,0,424,402,34049.0,0,0,Not_Available,0.8958904109589041,33315,35,2,109,-13,35,424871,3746,98.0,0,Not_Available,1441,41654,306,0.0,0,Not_Available,0,3315,40315,1,34,0.0,499036.0,100,41167.0,451782,4222,275.0,32,1542,352,0.8898550724637682,265,0,0.0,0.0,41965,425820.0,6030,0,0,0,Not_Available,0,13.0,0,105382,Not_Available,3562,0,3910,0,4547,6302,39633,35,69000,0.0,0.0,Not_Available,425808,0.0,40,101,67945,98.0,0,0
