SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,AvgNumNodesPrepare,LocalReadOnlyTxLocalServiceTime,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,NumLocalRemoteLockContentions,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumRemoteLocalLockContentions,NumLocalLocalLockContentions,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,NumRemoteRemoteLockContentions,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180674,0,3810,502,2,45,72042.43875896414,36764.7546839895,15.667961917871072,15327.911559760956,0.5931960043355166,7.716539456E7,1,1000,UNIFORM,0,305,1458,12976,10,0,425,3328.0,0,10.0,8,2975,0,1688,34087,145,317,34412,1953,0,276,5606,90.0,1927,0,8,1.1244570349386214,70062.0,10,526,2459,8832,0.11641929499072357,0.0,34989.0,4840,0,0,0,2.9382470119521913,85383,2.0,45.0,0,3100,11714,547.0,0.0,82.0,0,0,0.35856573705179284,1,134,41636,9.649606299212598,0,0,0.0,6454,362,402,0,0.1259463179628355,0,8,0,9.703187250996017,371,10.0,1.0764872521246458,200,0,0.0,2544,1,827,8595.0,3608,55016,0.0,33,646,0.0,17570,173,47,10.0,0,0,9.641434262948207,1465,562,1802,5852,8,43120,70,0.0,34975,10,0,0
1,180668,0,3816,516,2,51,70787.40589534883,36536.29128066038,20.17396738882554,16456.122017441863,0.627478413791879,7.406031072E7,1,1000,UNIFORM,0,287,2053,13468,10,0,425,3157.0,0,10.0,8,2834,1,2729,15789,144,350,34111,1918,0,263,31283,91.0,2850,0,8,1.1493283348953451,68751.0,10,690,2320,8231,0.11911357340720222,0.0,34643.0,4900,0,0,0,2.501937984496124,83161,2.0,50.0,0,3057,12096,567.0,0.0,81.0,0,0,0.5038759689922481,1,122,42022,9.710429769392034,0,0,0.0,5971,1139,402,0,0.12976054732041048,0,8,0,9.625968992248062,458,10.0,1.1840049984379881,183,3060,1.0,2479,1,880,8328.0,3560,52629,0.0,37,589,0.0,101908,161,53,10.0,0,1,9.496124031007753,1517,703,2410,5852,8,43320,70,0.0,34628,16,0,2826
2,180680,0,3830,470,1,35,72479.31243404256,37410.942696083555,17.95825553505535,16037.565751063828,0.5999175520670306,7.491576704E7,1,1000,UNIFORM,0,302,1804,13374,10,0,425,3258.0,0,10.0,8,2905,2,1623,32255,135,307,35008,1466,0,270,26061,86.0,1860,0,8,1.1299852289512555,70231.0,10,548,2697,7717,0.10930232558139535,0.0,35588.0,4590,0,0,0,3.5404255319148934,93071,1.0,33.0,0,3163,11973,505.0,0.0,78.0,0,0,0.23404255319148937,1,132,41326,9.597650130548303,0,0,0.0,6423,917,402,0,0.11669741697416974,0,8,0,9.717021276595744,512,10.0,1.16506646971935,212,0,2.0,2582,1,818,8607.0,3672,54434,0.0,33,669,0.0,120119,173,36,10.0,0,0,9.76595744680851,1490,585,2169,5852,8,43000,70,0.0,35571,12,0,1459
3,180724,0,3746,481,0,52,100025.0209106029,29963.930003737318,16.81424398223884,15318.890401247401,0.6350866891768703,7.221456544E7,1,1000,UNIFORM,0,286,2361,11989,10,0,425,3322.0,0,10.0,8,2995,2,2115,959198,123,283,27723,2105,0,277,30735,105.0,13876,0,8,1.1595902612826603,98176.0,10,695,2495,13520,0.11379228767447362,0.0,28253.0,4660,0,0,0,2.6694386694386694,85005,0.0,50.0,0,2847,10689,533.0,0.0,88.0,0,0,0.31185031185031187,1,121,40979,9.701548318206086,0,0,0.0,6122,1226,402,0,0.12456181350782893,0,8,0,9.640332640332641,709,10.0,1.1045130641330165,196,14059,2.0,2581,1,880,8470.0,3323,83117,0.0,35,634,0.0,69178,160,52,10.0,1,1,9.688149688149688,1502,773,2828,5852,8,42270,70,0.0,28240,11,0,1738
4,180672,0,3807,471,3,47,71715.4254522293,37298.766269766216,22.38116451016636,16054.81041401274,0.592011515683163,7.032172512E7,1,1000,UNIFORM,0,301,2395,12723,10,0,425,3321.0,0,10.0,8,2984,1,2428,22334,143,257,34935,2236,0,276,31017,100.0,2597,0,8,1.1468624833110814,69660.0,10,725,2680,5708,0.11009817671809256,0.0,35483.0,4540,0,0,0,2.723991507430998,88382,3.0,46.0,0,3131,11281,518.0,0.0,87.0,0,0,0.3609341825902335,1,130,41489,9.704754399789861,0,0,0.0,6429,974,402,0,0.12037892791127541,0,8,0,9.645435244161359,431,10.0,1.093124165554072,191,0,1.0,2571,1,864,8838.0,3649,53867,0.0,43,647,0.0,98796,168,50,10.0,0,0,9.639065817409767,1531,772,2765,5852,8,42780,70,0.0,35470,10,0,3165
5,180637,0,3725,442,4,48,75054.87823755656,38270.874255570474,13.694434937188907,15819.199735294118,0.6563761678465353,8.60322992E7,1,1000,UNIFORM,0,291,1684,13131,10,0,425,3346.0,0,10.0,8,3013,3,2240,29728,139,252,35729,1541,0,281,13938,98.0,2651,1,8,1.2034266717811022,72855.0,10,539,2047,11292,0.10607151427885769,0.0,36374.0,4210,0,0,0,3.269230769230769,91755,4.0,44.0,0,3223,11546,490.0,0.0,85.0,0,0,0.4751131221719457,1,123,40220,9.66013422818792,0,0,0.0,6371,1065,402,0,0.11708935766769377,0,7,1,9.583710407239819,387,10.0,1.1430763329497506,198,0,4.0,2675,1,889,8550.0,3761,57356,0.0,44,673,0.0,39544,158,52,10.0,1,0,9.524886877828054,1487,591,2093,5852,8,41670,70,2.0312817387771684E-4,36361,21,0,1906
6,180705,0,4052,490,1,39,127314.98895918368,28380.524535538007,18.950303797468354,15526.792248979593,0.7277297145604976,7.464383652173913E7,1,1000,UNIFORM,0,283,1964,12753,10,0,425,3070.0,0,10.0,8,2752,0,2476,16718,155,294,26374,2315,0,254,12265,88.0,2611,0,8,1.1619252652621868,125627.0,10,678,2605,11040,0.10788199031263761,0.0,26865.0,4660,0,0,0,2.553061224489796,75163,1.0,39.0,0,3020,11254,529.0,0.0,81.0,0,0,0.4897959183673469,1,122,44156,9.731490621915103,0,0,0.0,5667,1457,402,0,0.11567001309471846,0,8,0,9.640816326530611,579,10.0,1.1487005997232047,186,0,0.0,2431,1,892,7943.0,3462,110351,0.0,46,764,0.0,32966,159,40,10.0,0,0,9.510204081632653,1450,676,2273,5852,8,45420,70,0.0,26854,18,0,0
7,180672,0,4308,546,3,36,63703.382503663,33147.4278454039,14.407149397097895,15149.690919413919,0.5787085274010545,8.191000128E7,1,1000,UNIFORM,0,267,1508,12870,10,0,425,2855.0,0,10.0,8,2554,0,2265,17825,113,267,31227,1175,0,235,6677,78.0,2408,1,8,1.1627835210615647,61959.0,10,516,1539,7974,0.11248454882571075,0.0,31678.0,5220,0,0,0,2.5805860805860807,68805,3.0,35.0,0,2810,11458,582.0,0.0,72.0,0,0,0.43956043956043955,1,111,47121,9.71355617455896,0,0,0.0,5044,1262,402,0,0.11955855303494789,0,7,1,9.66117216117216,384,10.0,1.1942601450393457,173,0,1.0,2192,1,889,7098.0,3235,47065,0.0,48,484,0.0,17557,145,39,10.0,1,0,9.56043956043956,1401,573,1799,5852,8,48540,70,1.7111567419575633E-4,31666,17,0,0
8,180688,0,4158,567,1,57,66253.29804232804,33296.395688071185,15.13485343926406,14144.157724867726,0.6699286628214673,7.802899872E7,1,1000,UNIFORM,0,290,1502,11876,10,0,425,2870.0,0,10.0,8,2532,0,1218,18708,134,244,31253,1302,0,236,18493,70.0,1297,0,8,1.0933951332560834,64536.0,10,520,1611,2168,0.12,0.0,31786.0,5600,0,0,0,3.111111111111111,79834,1.0,57.0,0,2850,10656,624.0,0.0,66.0,0,0,0.12345679012345678,1,123,45479,9.5998075998076,0,0,0.0,5391,351,402,0,0.13067112690779845,0,8,0,9.811287477954144,341,10.0,1.1726535341830824,183,0,0.0,2267,1,793,7461.0,3293,50620,0.0,25,565,0.0,102901,158,58,10.0,0,0,9.876543209876543,1419,532,1755,5852,8,47250,70,0.0,31772,2,0,0
9,180697,0,4455,513,5,33,64164.870261208576,32467.30823771044,14.452404115061926,14786.470510721249,0.5353910491111445,7.31237584E7,1,1000,UNIFORM,0,269,1760,12250,10,0,425,2900.0,0,10.0,8,2599,0,2356,30147,123,228,30648,1793,0,238,34465,79.0,2524,1,8,1.1381306865177834,62531.0,10,657,2537,14216,0.10326086956521739,0.0,31087.0,5010,0,0,0,2.2085769980506824,61239,5.0,32.0,0,2777,10987,546.0,0.0,74.0,0,0,0.23391812865497075,1,121,48538,9.778675645342313,0,0,0.0,5302,396,402,0,0.11006791849780263,0,7,1,9.695906432748538,274,10.0,1.110008271298594,164,2020,1.0,2237,1,904,7532.0,3165,47985,0.0,24,440,0.0,105020,152,38,10.0,1,1,9.76608187134503,1437,702,2070,5852,8,49680,70,1.8214936247723133E-4,31076,10,0,1089
