SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,AvgRollbackRtt,RemoteUpdateTxPrepareServiceTime,RemoteContentionProbability,LocalUpdateTxPrepareResponseTime,AvgCommitAsync,LocalUpdateTxLocalServiceTime,AvgGetsPerWrTransaction,LocalUpdateTxLocalRollbackResponseTime,AvgNumSyncSentCommitMsgs,AvgCommitCommandSize,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,LocalReadOnlyTxPrepareResponseTime,AvgPutsPerWrTransaction,PercentageWriteTransactions,NumAbortedTxDueToValidation,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumWaitedRemoteGets,AvgLocalRemoteAbortLockHoldTime,AvgLocalSuccessfulLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgNumNodesRollback,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgRemoteGetsPerWrTransaction,AvgCommitRtt,NumReadsBeforeWrite,LocalUpdateTxLocalRollbackServiceTime,AvgLockHoldTime,RemoteGetServiceTime,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,GMUClusteredGetCommandResponseTime,WaitedTimeInLocalCommitQueue,RemotePutExecutionTime,AvgLocalLockHoldTime,AvgClusteredGetCommandReplySize,AvgNumNodesRemoteGet,NumOwnedRdItemsInRemotePrepare,AvgNumAsyncSentCommitMsgs,AvgGetsPerROTransaction,LocalUpdateTxTotalResponseTime,LocalUpdateTxTotalCpuTime,LocalUpdateTxLocalResponseTime,RemoteGetResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,LocalUpdateTxCommitServiceTime,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,PercentageSuccessWriteTransactions,WaitedTimeInRemoteCommitQueue,LocalUpdateTxRemoteRollbackResponseTime,LockContentionProbability,AvgRemoteLockHoldTime,ReadOnlyTxTotalResponseTime,NumAbortedXacts,RemoteUpdateTxCommitServiceTime,NumberOfRemotePuts,AvgNumPutsBySuccessfulLocalTx,AvgNumNodesCompleteNotification,AvgCompleteNotificationAsync,NumAbortedTxDueToNotLastValueAccessed,NumOwnedRdItemsInLocalPrepare,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,TerminationCost,RemotelyDeadXact,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareCommandSize,LocalUpdateTxCommitResponseTime,LocalUpdateTxRemoteRollbackServiceTime,AvgPrepareRtt,AvgNumNodesCommit,NumberOfGets,UpdateXactToPrepare,AvgRollbackCommandSize,WriteSkewProbability,LocalContentionProbability,GMUClusteredGetCommandServiceTime,AvgReadOnlyTxDuration,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,NumWaitedRemoteCommits,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180095,0,23,326,0,10,502341.6764539877,490676.0997826087,22.776206128133705,60786.302315950925,0.7953762813058914,2.1932530833333334E8,1,100000,UNIFORM,0,0,320,0.0,49044,9323,33698,100,0,0,482,504,31680.0,0,0,10.0,0.935933147632312,0,30942,42,0,46516,55844,151,41,161,486585,7360,96.50613496932516,0,100.0,0,45419,322,0.33608014218775245,210,383.0,0,50,55629,915,1,3.519523886465234,41,100,498529.0,39118.0,438274,4507,0.0,20,1372,1224,0.0,0.9340974212034384,9222,8235,0.0,40426,487872.0,10,113,3170,10.0,0,0,0,3.7607361963190185,0,0,389108,10.0,9.723926380368098,3808,0,4132,6428,10353,1323,44393,42,34900,336.0,70,0.0,0.0,224.0,487862,0.27607361963190186,1,114,33674,19,96.21739130434783,0,0,0
1,180143,0,43,361,0,24,425711.20256232686,354082.0658604651,19.254406542056078,55594.970795013855,0.7542647717391193,1.526022528E8,1,100000,UNIFORM,0,0,311,0.0,46750,7636,34169,100,0,0,482,504,30848.0,0,0,10.0,0.8995327102803738,0,30077,42,0,70768,49705,114,42,162,350881,7022,98.4792243767313,0,100.0,0,49315,316,0.20991214539601635,136,187.0,0,72,50891,921,1,1.9792099792099793,41,100,423143.0,40483.0,367889,3683,0.0,9,1620,617,0.0,0.8935643564356436,8206,7505,0.0,48393,352071.0,24,122,3550,10.0,0,0,0,1.7174515235457064,0,0,170562,24.0,9.833795013850416,4477,0,3404,6428,8099,1820,41869,42,40400,385.0,70,0.0,0.0,166.0,352062,0.16620498614958448,1,114,39780,3,98.34883720930233,0,0,0
2,180238,0,34,315,0,18,496483.93737142853,434081.6902941176,53.58877384196185,68998.9223015873,0.7848402033711573,1.9111663328E8,1,100000,UNIFORM,0,0,318,0.0,54985,12114,36454,100,7786,0,482,504,34956.0,0,0,10.0,0.9073569482288828,1,34201,42,0,66173,62127,115,42,195,429175,9245,96.7968253968254,0,100.0,1553,51861,339,0.3295993106419647,142,432.0,0,95,61953,917,1,3.436611374407583,41,100,492873.0,43087.0,424448,4320,0.0,20,1803,1053,0.0,0.9025787965616046,15156,9789,0.0,46785,430589.0,18,106,3090,10.0,0,0,0,3.53015873015873,0,0,348958,17.0,9.80952380952381,4592,0,3909,6428,12743,1688,47958,42,34900,333.0,70,0.0,0.0,166.0,430578,0.19047619047619047,1,100,33788,19,96.97058823529412,0,0,8192
3,180238,0,37,324,0,16,478162.12714506174,462598.635972973,75.67475862068966,63802.55819444445,0.7835057246451019,1.9648923616E8,1,100000,UNIFORM,0,0,320,0.0,51297,10864,34967,100,7629,0,482,504,34899.0,0,0,10.0,0.9018567639257294,1,34123,42,0,73317,56605,140,42,191,457595,9855,96.68518518518519,0,100.0,1735,48898,327,0.34328035463293327,153,233.0,0,83,57107,923,1,3.461293112768948,41,100,474720.0,41691.0,411339,4239,0.0,18,1911,966,0.0,0.8975069252077562,20716,10891,0.0,44653,459278.0,16,112,3130,10.0,0,0,0,3.669753086419753,0,0,262594,15.0,9.660493827160494,4566,0,3897,6428,11453,1825,44931,42,36100,340.0,70,0.0,0.0,163.0,459269,0.3395061728395062,1,109,34910,18,96.86486486486487,0,0,8034
4,180255,0,31,307,0,15,512513.818257329,515878.9756451613,34.64497733711048,71418.18088273617,0.7907602216845184,1.9548213664E8,1,100000,UNIFORM,0,0,317,0.0,55301,13744,37091,100,0,0,482,504,36478.0,0,0,10.0,0.9121813031161473,0,35639,41,0,59898,64735,133,42,213,511269,9552,96.76221498371335,0,100.0,0,53959,344,0.35488233703002436,200,259.0,0,114,64545,922,1,3.4827157154449555,41,100,509131.0,44057.0,438294,4493,0.0,23,1934,1071,0.0,0.908284023668639,13822,9888,0.0,49058,512991.0,15,114,2950,10.0,0,0,0,3.583061889250814,0,0,369865,15.0,9.609120521172638,4790,0,4114,6428,14640,1577,47737,41,33800,322.0,70,0.0,0.0,172.0,512973,0.39087947882736157,1,108,32700,27,96.58064516129032,0,0,0
5,180240,0,39,305,0,28,486683.25237377046,422683.58761538466,30.831989247311828,65453.7158295082,0.8110311775927401,1.94331232E8,1,100000,UNIFORM,0,0,306,0.0,52127,11747,34724,100,17739,0,482,504,36491.0,0,0,10.0,0.8951612903225806,2,35746,42,0,87986,57322,156,40,174,417748,13291,96.5967213114754,0,100.0,994,50561,329,0.3454427505676289,159,242.0,0,101,58925,922,1,3.568277651638015,41,100,482900.0,41254.0,417811,4276,0.0,19,1864,916,0.0,0.8866279069767442,18744,14226,0.0,46249,419082.0,28,110,2930,10.0,0,0,0,3.8131147540983608,1,0,298328,25.0,9.60655737704918,4430,0,3931,6428,12306,2131,45067,42,34400,333.0,70,0.0,3.003003003003003E-4,166.0,419072,0.39344262295081966,1,108,33236,24,96.76923076923077,0,0,21313
6,180079,0,37,362,0,18,436963.9332320442,390213.9184054054,58.618223021582736,64979.39424309392,0.6985729792301665,1.5141146933333334E8,1,100000,UNIFORM,0,0,318,0.0,54226,9035,34366,100,0,0,482,504,38279.0,0,0,10.0,0.9112709832134293,0,37532,42,0,47683,69136,113,43,158,387259,7967,98.25414364640883,0,100.0,0,56577,318,0.1963707064160726,143,187.0,0,69,68444,920,1,2.0891121192482176,41,100,434621.0,41154.0,369948,3717,0.0,8,1930,682,0.0,0.9072681704260651,7318,8384,0.0,49647,388588.0,18,122,3540,10.0,0,0,0,1.9060773480662982,0,0,175814,18.0,9.779005524861878,4637,0,3424,6428,9998,1731,49138,42,39900,380.0,70,0.0,0.0,161.0,388579,0.22099447513812154,1,111,39210,5,98.43243243243244,0,0,0
7,180132,0,39,384,0,15,416513.3018932292,343885.5763076923,18.92152511415525,59250.994125,0.5767902977983348,1.5199399392E8,1,100000,UNIFORM,0,0,309,0.0,50846,7240,31743,100,15401,0,482,504,28880.0,0,0,10.0,0.910958904109589,1,28151,42,0,45156,55286,117,41,151,340072,6765,98.39322916666667,0,100.0,4213,45894,293,0.21279425455512702,145,169.0,0,67,54893,924,1,2.0109064308040168,41,100,414485.0,38097.0,355492,3563,0.0,9,1655,623,0.0,0.9078014184397163,12049,6778,0.0,40442,342053.0,15,121,3790,10.0,0,0,0,1.7942708333333333,0,0,185094,14.0,9.869791666666666,4489,0,3320,6428,7781,1674,46767,42,42300,399.0,70,0.0,0.0,149.0,342044,0.13020833333333334,1,112,41611,6,98.15384615384616,0,0,22916
8,180212,0,42,381,0,18,411671.006808399,361909.40788095235,11.873226757369615,58712.206335958006,0.6185353409628989,1.484876224E8,1,100000,UNIFORM,0,0,294,0.0,49923,7537,30860,100,5686,0,482,504,32136.0,0,0,10.0,0.9047619047619048,1,31413,42,0,59213,53655,111,41,139,358755,10608,98.35433070866142,0,100.0,1260,49792,289,0.195795953113745,128,170.0,0,72,53738,919,1,2.0210216110019648,41,100,409745.0,37090.0,351353,3543,0.0,12,1579,589,0.0,0.900709219858156,9310,11266,0.0,47347,359824.0,18,113,3750,10.0,0,0,0,1.8162729658792651,0,0,161826,17.0,9.84251968503937,4439,0,3293,6428,8013,1928,45110,42,42300,399.0,70,0.0,0.0,148.0,359815,0.15748031496062992,1,106,41606,7,98.4047619047619,0,0,5928
9,180238,0,36,406,0,6,402083.3725960591,407163.5668055556,14.503892857142857,54047.31552216749,0.6380875673852789,1.6216988544E8,1,100000,UNIFORM,0,0,296,0.0,45493,7383,30976,100,0,0,482,504,31754.0,0,0,10.0,0.9196428571428571,0,31001,42,0,42493,49061,110,41,127,404182,5424,98.38177339901478,0,100.0,0,44318,286,0.1937932871603623,136,173.0,0,81,48988,919,1,1.9988678742674482,41,100,399866.0,37100.0,346146,3514,0.0,16,1569,597,0.0,0.918552036199095,18746,5966,0.0,41476,405201.0,6,113,4000,10.0,0,0,0,1.7536945812807883,0,0,199708,6.0,9.852216748768473,4350,0,3271,6428,7849,1325,41035,42,44200,412.0,70,0.0,0.0,154.0,405191,0.1477832512315271,1,103,43488,2,98.47222222222223,0,0,0
