SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,AvgRollbackRtt,RemoteUpdateTxPrepareServiceTime,RemoteContentionProbability,LocalUpdateTxPrepareResponseTime,AvgCommitAsync,LocalUpdateTxLocalServiceTime,AvgGetsPerWrTransaction,LocalUpdateTxLocalRollbackResponseTime,AvgNumSyncSentCommitMsgs,AvgCommitCommandSize,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,LocalReadOnlyTxPrepareResponseTime,AvgPutsPerWrTransaction,PercentageWriteTransactions,NumAbortedTxDueToValidation,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumWaitedRemoteGets,AvgLocalRemoteAbortLockHoldTime,AvgLocalSuccessfulLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgNumNodesRollback,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgRemoteGetsPerWrTransaction,AvgCommitRtt,NumReadsBeforeWrite,LocalUpdateTxLocalRollbackServiceTime,AvgLockHoldTime,RemoteGetServiceTime,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,GMUClusteredGetCommandResponseTime,WaitedTimeInLocalCommitQueue,RemotePutExecutionTime,AvgLocalLockHoldTime,AvgClusteredGetCommandReplySize,AvgNumNodesRemoteGet,NumOwnedRdItemsInRemotePrepare,AvgNumAsyncSentCommitMsgs,AvgGetsPerROTransaction,LocalUpdateTxTotalResponseTime,LocalUpdateTxTotalCpuTime,LocalUpdateTxLocalResponseTime,RemoteGetResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,LocalUpdateTxCommitServiceTime,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,PercentageSuccessWriteTransactions,WaitedTimeInRemoteCommitQueue,LocalUpdateTxRemoteRollbackResponseTime,LockContentionProbability,AvgRemoteLockHoldTime,ReadOnlyTxTotalResponseTime,NumAbortedXacts,RemoteUpdateTxCommitServiceTime,NumberOfRemotePuts,AvgNumPutsBySuccessfulLocalTx,AvgNumNodesCompleteNotification,AvgCompleteNotificationAsync,NumAbortedTxDueToNotLastValueAccessed,NumOwnedRdItemsInLocalPrepare,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,TerminationCost,RemotelyDeadXact,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareCommandSize,LocalUpdateTxCommitResponseTime,LocalUpdateTxRemoteRollbackServiceTime,AvgPrepareRtt,AvgNumNodesCommit,NumberOfGets,UpdateXactToPrepare,AvgRollbackCommandSize,WriteSkewProbability,LocalContentionProbability,GMUClusteredGetCommandServiceTime,AvgReadOnlyTxDuration,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,NumWaitedRemoteCommits,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,179996,0,337,3274,12,246,48261.277298411725,22517.43035014837,17.057081933316102,9765.871817348809,0.7783417563796977,9.878908382608695E7,1,1000,UNIFORM,0,0,178,0.0,8051,985,3402,10,1064,0,162,181,2161.0,0,0,10.0,0.9128973895063324,16,1877,6,0,2382,8227,88,6,-1101,20541,1012,9.042150274893098,0,10.0,305,9383,176,1.521817340802796,98,68.0,5576,1791,8479,760,1,1.4922388980263157,5,10,46572.0,4766.0,37053,2232,0.0,160,363,248,0.0,0.9066740515092772,8041,1284,0.0,11232,21008.0,258,92,29520,10.0,0,0,0,1.0641417226634087,5,3,103915,0.0,9.016493585827734,865,0,1890,5612,1240,389,7347,6,36110,3520.0,70,0.0,8.508465923593976E-5,62.0,21003,0.9835064141722664,1,87,32617,144,8.940652818991097,0,0,14410
1,180053,0,364,3543,11,249,44883.669163703074,21135.299925824176,15.094406767458604,9214.788629127857,0.7053032401146803,1.030696112E8,1,1000,UNIFORM,0,0,170,0.0,7611,956,3334,10,569,0,162,181,1982.0,0,0,10.0,0.9126469882409407,11,1734,6,0,1241,7759,70,6,-1035,19492,773,9.092859158904883,0,10.0,260,9029,170,1.4999466211166863,90,68.0,8165,1648,7880,763,1,1.4677057755951746,5,10,43449.0,4656.0,34439,2080,0.0,146,376,220,0.0,0.9068338878935245,7734,1052,0.0,11608,19839.0,260,84,32160,10.0,0,0,0,1.004798193621225,4,4,96030,0.0,9.0770533446232,825,0,1761,5612,1201,386,6978,6,39070,3792.0,70,0.0,2.634560160181258E-5,59.0,19834,0.9229466553767993,1,71,35495,121,9.008241758241759,0,0,11004
2,179998,0,347,3172,21,210,49703.20616046658,24359.270867435156,21.697215733333334,10426.765931904161,0.7151888051135714,9.40235523478261E7,1,1000,UNIFORM,0,0,189,0.0,8430,1188,3667,10,399,0,162,181,2406.0,0,0,10.0,0.9074666666666666,5,2113,6,0,1781,8694,91,5,-1103,22313,1074,9.059268600252206,0,10.0,203,9663,188,1.4747083694157201,104,69.0,18385,1831,9002,763,1,1.4756762263766492,5,10,47993.0,5140.0,37821,2276,0.0,145,408,269,0.0,0.9013924410343848,7067,1500,0.0,10973,22820.0,231,97,28800,10.0,0,0,0,1.0334174022698612,6,7,112179,0.0,9.079445145018916,919,0,1921,5612,1485,448,7643,6,35190,3382.0,70,0.0,8.846686915750052E-5,64.0,22812,0.9205548549810845,1,89,31895,115,9.103746397694524,0,0,15497
3,180051,0,324,3155,11,244,49822.637259270996,22440.69589197531,22.850143010176755,9886.274684310618,0.6866538718844204,9.518672288E7,1,1000,UNIFORM,0,0,178,0.0,7937,1154,3590,10,1452,0,162,181,2255.0,0,0,10.0,0.9132297803963578,15,1972,6,0,2898,8411,83,5,-1134,20411,1324,8.919175911251982,0,10.0,325,9569,185,1.5701095536525858,103,71.0,14616,1885,8724,763,1,1.5523130651102712,5,10,48053.0,5048.0,38417,2345,0.0,190,409,257,0.0,0.9068697901695889,5884,1620,0.0,11267,20900.0,255,90,28040,10.0,0,0,0,1.18256735340729,9,6,118806,0.0,8.887480190174326,906,0,1985,5612,1438,430,7129,6,34790,3399.0,70,0.0,2.0556795489251733E-4,62.0,20892,1.1125198098256734,1,80,31038,157,8.944444444444445,0,0,15143
4,180052,0,342,3169,14,257,49368.59844935311,24250.458883040934,18.96228080380751,10039.704473335438,0.6854246508750367,9.7333499E7,1,1000,UNIFORM,0,0,180,0.0,8241,1014,3668,10,596,0,162,181,2358.0,0,0,10.0,0.9095716552088842,14,2069,6,0,1431,8469,85,5,-1100,22324,911,9.025560113600505,0,10.0,239,9786,188,1.5296895408419573,104,75.0,3290,1830,8665,761,1,1.523309554908068,5,10,47641.0,5095.0,37851,2303,0.0,165,384,253,0.0,0.9025918541726003,7094,1242,0.0,12021,22834.0,271,96,28600,10.0,0,0,0,1.079204796465762,10,4,114145,0.0,9.024928999684443,900,0,1934,5612,1299,396,7481,6,35110,3426.0,70,0.0,1.4569189078935866E-4,65.0,22816,0.9750710003155569,1,85,31669,138,8.967836257309942,0,0,13439
5,179992,0,358,3132,25,239,49977.71313314176,23659.28782960894,22.105608684070326,10376.188584610474,0.7399142446702551,9.45290476521739E7,1,1000,UNIFORM,0,0,192,0.0,8368,1145,3572,10,773,0,162,181,2249.0,0,0,10.0,0.9046350559403303,20,1975,6,0,1741,8649,76,5,-1103,21522,932,8.886015325670497,0,10.0,250,9784,183,1.5965713747468564,100,72.0,18982,1879,8877,765,1,1.5875759431074272,5,10,48230.0,5011.0,38122,2318,0.0,180,385,282,0.0,0.8974212034383954,9080,1273,0.0,11603,21947.0,264,86,27860,10.0,0,0,0,1.236270753512133,6,8,133224,0.0,8.895274584929757,906,0,1965,5612,1451,401,7572,6,34900,3371.0,70,0.0,1.4785025725944762E-4,62.0,21942,1.1047254150702426,1,78,31007,169,8.871508379888269,0,0,14455
6,180088,0,374,3316,16,245,47238.41475934862,24160.97320588235,21.10119767147558,9904.961386308805,0.7663405271433632,9.973758833333333E7,1,1000,UNIFORM,0,0,182,0.0,7964,1111,3513,10,943,0,162,181,2250.0,0,0,10.0,0.9053404201467983,17,1983,6,0,2223,8175,73,5,-1013,22045,972,8.893244873341375,0,10.0,272,9472,182,1.606791107776006,94,68.0,10492,1746,8460,763,1,1.5964262264327924,5,10,45502.0,4946.0,35863,2220,0.0,194,404,267,0.0,0.8986449864498645,7888,1319,0.0,11619,22629.0,261,85,29420,10.0,0,0,0,1.2322074788902293,11,8,127283,0.0,8.872135102533173,885,0,1859,5612,1419,436,7200,6,36900,3561.0,70,0.0,1.1204481792717087E-4,60.0,22621,1.1278648974668275,1,75,32800,175,8.850267379679144,0,0,14968
7,180051,0,329,3249,17,245,48448.87218651893,23478.280194528874,19.252233854166665,10069.161267466912,0.7310847625469847,9.636947033333333E7,1,1000,UNIFORM,0,0,178,0.0,8296,1056,3593,10,537,0,162,181,2241.0,0,0,10.0,0.9143229166666667,11,1963,6,0,1404,8388,87,5,-1114,21393,1161,9.124038165589413,0,10.0,239,9661,183,1.4420456927268916,99,71.0,9734,1799,8566,755,1,1.4646300565919095,5,10,46775.0,5003.0,36946,2210,0.0,144,388,260,0.0,0.908049189491336,7405,1543,0.0,11774,21946.0,262,93,29640,10.0,0,0,0,0.974145891043398,10,2,107535,0.0,9.12280701754386,884,0,1880,5612,1301,423,7577,6,35780,3494.0,70,0.0,1.7140898183064793E-4,64.0,21932,0.8771929824561403,1,87,32596,112,8.972644376899696,0,0,13246
8,180053,0,345,3142,11,251,49663.17461744112,25030.218220289855,17.916358495598825,10239.633288669636,0.6919615243348765,9.513094112E7,1,1000,UNIFORM,0,0,189,0.0,8289,1131,3718,10,989,0,162,181,2453.0,0,0,10.0,0.9079754601226994,6,2171,6,0,1822,8986,89,5,-1123,23059,1103,9.016231699554424,0,10.0,251,9920,193,1.4597578888720053,104,74.0,27824,1858,9191,769,1,1.4936939674821457,5,10,47928.0,5200.0,37956,2294,0.0,146,423,286,0.0,0.9010610840263837,8232,1528,0.0,11325,23558.0,262,96,28300,10.0,0,0,0,1.063653723742839,10,4,127824,0.0,9.007001909611713,909,0,1947,5612,1399,459,7516,6,34870,3393.0,70,0.0,1.176989848462557E-4,64.0,23550,0.9929980903882877,1,84,31516,125,9.23768115942029,0,0,13745
9,180015,0,365,3160,13,214,49722.7604857595,24953.636884931508,19.949711353944565,10353.815948101266,0.6893109055298738,1.0206570433333333E8,1,1000,UNIFORM,0,0,191,0.0,8457,1068,3561,10,876,0,162,181,2255.0,0,0,10.0,0.9027185501066098,16,1977,6,0,2093,8739,77,6,-1114,22947,1021,8.927531645569621,0,10.0,278,9971,182,1.6065451840833023,98,68.0,14137,1886,8987,769,1,1.5889735961323912,5,10,47874.0,4976.0,37788,2302,0.0,188,374,280,0.0,0.8964539007092198,7871,1357,0.0,11782,23458.0,227,89,28190,10.0,0,0,0,1.183860759493671,6,8,127222,0.0,8.920886075949367,898,0,1959,5612,1357,407,7621,6,35250,3374.0,70,0.0,1.4791148976452492E-4,61.0,23450,1.0791139240506329,1,77,31501,178,9.013698630136986,0,0,15365
