ReplicationDegree;Numkeys;NumWrites;NumThread;NumNodes;Warehouses;Parallelism;CPU;Memory;Throughput;WriteThroughput;ReadThroughput;EarlyAborts;LocalPrepareAborts;RemotePrepareAborts;WriteXactPercentage;WriteCommitProbability;TotalCommitProbability;Locality;NumReadsPerROXact;NumReadsPerWrXact;NumPutsPerWrXact;NodesInCommit;RemoteNodesInCommit;RemoteReadsInROXact;RemoteReadsInWrXact;LockHoldTime;LocalLockHoldTime;LocalSuccessfulLockHoldTime;LocalLocalAbortLockHoldTime;LocalRemoteAbortLockHoldTime;RemoteLockHoldTime;PrepareRtt;CommitAsyncNet;RollbackAsyncNet;RemoteGetRtt;NumReadsAfterFirstWrite;PrepareMessageSize;CommitMessageSize;RollbackMessageSize;RemoteGetMessageSize;RemoteGetReplyMessageSize;LocalCommitWaitTime;NumLocalCommitsWait;RemoteCommitWaitTime;NumRemoteCommitsWait;RemoteGetWaitTime;NumRemoteGetsWait;TotalResponseTimeWrXact;TotalResponseTimeROXact;LocalResponseTimeWrXact;LocalResponseTimeROXact;LocalServiceTimeWrXact;TotalServiceTimeWrXact;LocalServiceTimeROXact;RG_WrR;RG_ROR;RG_COMMIT;BusinessLogicWrXactS;BusinessLogicROXactS;BusinessLogicWrXactR;BusinessLogicROXactR;RemoteRemoteGetServiceTime;RemoteRemoteGetResponseTime;LocalRemoteGetServiceTime;LocalRemoteGetResponseTime;CommitCommandServiceTime;CommitCommandResponseTime;PrepareCommandServiceTime;PrepareCommandResponseTime;EarlyAbortProb;PrepareLocalAbortProb;PrepareRemoteAbortProb;;;Throughput;RdThroughput;WrThroughput;RdResponseTime;WrResponseTime;WrLocalR;WrPrepareR;WrCommitR;RemoteGetR;avgR;CpuU;EarlyAbortP;LocalAbortP;RemoteAbortP;
1;100.000;10;1;30;0;30;0,71242512;197.707.613,74879223;433,79853654;394,36230595;39,43623059;15;146;0;0,90930853;0,99773721;0,99794249;0,03346182;10;10;10;8;8;9,67524979;9,66421323;13.830,6;12.671,4;12.626,03333333;25.257,7;61,1;36.769,96666667;11.361,76666667;1.643,53333333;1.407,53333333;2.642,23333333;10;5.772,33333333;322;70;341;735,76666667;14.358,8;2,66666667;12.460;140,3;0;0;70.437,96666667;31.589,06666667;55.891,16666667;31.179,23333333;5.160,7;6.923,1;2.800,36666667;72.364,10737949;33.274,57842573;14.823,38511815;2.717,26475561;354,14101266;25.008,85115725;261,65013669;170,93333333;220,66666667;252,83333333;3.195,53333333;466,36666667;1.930,16666667;1.163,1;12.369,2;0,00021082;0,05811331;0;;;161,03838154;14,60480785;146,43357369;25.543,08031998;202.323,46635242;30.704,76850737;12.525,02160894;2.110,05494228;2.895,22160894;186.290,9929454;0,13415586;0,00011221;0,04587321;0,76806764;
1;100.000;10;1;40;0;40;0,68190699;179.487.695,5013333;479,9614711;436,42758861;43,53388249;7;263;0;0,90955961;0,99657517;0,99688484;0,02420634;10;10;10;8;8;9,74241696;9,75185489;18.291,6;16.232,575;16.158,775;35.107,125;204,225;36.703,225;15.067,225;1.784,325;1.711,275;3.141,85;10;5.852,4;402;70;421;936,125;16.183,1;2;15.157,575;145,1;0;0;85.816,975;37.340,45;67.147,35;36.896,8;6.176,525;8.125,725;3.261,85;87.903,18199225;39.137,66817141;18.960,93017868;3.280,22409802;368,35216409;30.622,02131034;406,82085206;187,025;251,1;297;3.745,475;501,075;2.118,675;1.311,525;16.289,75;0,00008879;0,11808814;0;;;205,88000553;18,61986785;187,26013768;30.546,0364509;210.569,3038958;36.810,78713483;16.378,8979614;2.285,5479614;3.438,9979614;194.287,92950461;0,12889057;0,00013135;0,0309001;0,72895026;
1;100.000;10;1;50;0;50;0,691146;172.394.812,91584927;537,56172042;489,49183679;48,06988363;15;378;0;0,91107607;0,99556012;0,99595554;0,01953977;10;10;10;9;8;9,79930183;9,79886314;21.829,26;18.480,26;18.352,22;37.058;411,66;40.912,26;17.055,1;1.940,74;1.745,86;3.476,42;10;5.932,56;482;70;501;1.144,56;11.688,22;1,48;16.012,92;130,84;0;0;95.820,74;41.284,2;74.891,8;40.796,22;7.103,32;9.219,64;3.739,88;97.989,26475141;43.197,1624325;21.223,06596317;3.789,93241902;426,34407934;34.438,36940453;340,97831271;200,82;268,04;338,14;4.128,38;546,58;2.290,28;1.430,46;18.382,92;0,00016946;0,17659755;0;;;194,05740178;17,25634706;176,80105472;34.073,3431784;279.478,07575741;41.175,20031809;18.485,77499159;2.487,53499159;3.814,77499159;257.655,72218486;0,17694903;0,00015342;0,0276881;0,7725183;
1;100.000;10;1;60;0;60;0,71363932;169.999.446,15421253;610,60083077;554,99117195;55,60965882;24;518;0;0,90937757;0,99460444;0,99509342;0,01639071;10;10;10;9;9;9,83421767;9,83627284;21.312,46666667;17.493,73333333;17.367,8;33.084,08333333;186,56666667;35.582,96666667;15.780,2;2.080,06666667;1.794,38333333;3.704,43333333;10;6.012,38333333;562;70;581;1.359,78333333;11.892,35;1,15;14.496,93333333;92,78333333;0;0;100.580,33333333;43.983,33333333;80.612,05;43.513,73333333;7.993,8;10.260;4.185,8;102.743,67432636;45.846,74642965;20.270,69765825;4.268,3116634;461,0900578;37.496,05952684;406,75140953;214,63333333;283,11666667;378,75;4.383,36666667;586,61666667;2.443,7;1.537,83333333;17.261,01666667;0,00023892;0,23726821;0;;;222,04988228;20,12270009;201,92718219;36.600,42046496;293.489,46522176;44.422,77234834;17.318,29649226;2.666,94649226;4.083,44649226;270.209,55554394;0,20833398;0,00017751;0,0232631;0,77608413;
1;100.000;10;1;70;0;70;0,6809993;158.451.932,28004146;629,51524477;572,11338173;57,40186303;21;618;0;0,90934759;0,99383419;0,99439326;0,01372793;10;10;10;9;9;9,86170495;9,85739567;21.286,94285714;17.795,25714286;17.741,4;21.961,52857143;113,18571429;30.489,22857143;18.267,72857143;2.239,72857143;1.930,9;4.222,18571429;10;6.092,64285714;642;70;669;1.334,25714286;7.176,54285714;0,75714286;13.798,75714286;94,74285714;0;0;114.657,44285714;50.124;91.834,58571429;49.564,78571429;8.785,37142857;11.204,24285714;4.628,52857143;116.894,36423872;52.028,24582686;23.139,4227316;4.707,0851999;548,4594712;42.876,70355834;585,50103516;192,2;271,28571429;413,72857143;4.966,61428571;612,61428571;2.619,11428571;1.661,58571429;19.921,88571429;0,00020263;0,29578071;0;;;230,40270075;20,88655905;209,5161417;41.678,77570088;329.948,19983955;50.407,08836836;19.929,57543411;2.852,60400553;4.636,17543411;303.815,88311191;0,2070719;0,00019641;0,0197435;0,77303005;
1;1.000;10;1;10;0;10;0,67531519;73.275.398,97321738;490,35816345;52,78122208;437,57694137;6;187;0;0,10962871;0,98009078;0,99781825;0,09977795;10;10;10;6;5;9,00188649;9,00877756;1.505,6;1.224,7;1.187,8;22.609,8;2.202,5;18.732,5;6.506;961,3;1.126,5;1.591,8;10;5.612;162;70;185;317;0;0;7.277,3;10,6;0;0;40.324,7;16.364;31.484,4;15.878,5;3.833,6;5.499,6;1.778,3;41.765,19202192;17.630,38708158;9.043,54261972;2.276,88323754;222,77401535;15.840,65776618;246,72411841;59,7;62,4;172,8;1.736,5;471,6;1.233;1.056,6;7.385,9;0,00061894;0,16445343;0;;;475,27254241;423,1690245;52,10351791;14.517,06076635;74.022,4405483;18.159,30998854;7.562,68556258;1.432,98556258;1.764,68556258;21.040,55906372;0,07881866;0,00439263;0,09270201;0,60421389;
1;1.000;10;1;20;0;20;0,65056395;60.846.468,01304349;806,23951743;86,54947109;719,69004634;26;586;0;0,11104197;0,96220122;0,99580063;0,05010405;10;10;10;7,5;7;9,49968152;9,49260283;2.607,6;1.511,5;1.451,55;19.340,95;1.036,3;18.229,2;8.230,05;1.379,45;1.370,5;1.855,15;10;5.692;242;70;265;498,45;4.014,45;0,3;11.385,9;11,45;0;0;49.538,5;19.986,2;38.435,15;19.513,5;4.552;6.512,4;2.126,5;51.102,33866938;21.331,85261243;11.330,65331601;2.668,19296937;241,28820225;19.166,1155254;230,09648146;66,05;69,6;198,45;2.029,9;573,3;1.658,95;1.249,35;9.217,95;0,00160583;0,42931976;0;;;660,84786368;587,46601788;73,3818458;17.801,5540866;130.034,77637459;22.179,37885371;9.479,56549036;1.952,91549036;2.053,76549036;30.264,15170456;0,14199205;0,00706092;0,06066948;0,72998846;
1;1.000;10;1;30;0;30;0,65118823;61.509.794,2819517;1.080,358201;113,14885044;967,20935056;46;1.206;0;0,11047324;0,94209066;0,99360337;0,0335265;10;10;10;8;8;9,66345042;9,66871042;3.915,26666667;1.695,96666667;1.609,36666667;19.855,2;1.070,76666667;17.110,56666667;9.639,76666667;1.567,56666667;1.560,16666667;2.042,26666667;10;5.772;322;70;345;677,23333333;3.156,76666667;0,16666667;12.043,13333333;10,46666667;0;0;55.608,86666667;22.387,96666667;42.782,8;21.926,73333333;5.057,8;7.164,6;2.381,76666667;57.222,68051881;23.782,39069115;13.063,61213251;2.934,22890156;259,35083837;21.093,62649691;249,3592254;71,8;77,26666667;219,63333333;2.243,23333333;607,93333333;1.847,2;1.359,96666667;10.745,53333333;0,00212766;0,63981043;0;;;858,43715717;763,60281984;94,83433732;19.940,33958724;155.782,18690943;24.801,72098377;10.999,93822907;2.175,70489574;2.262,10489574;34.947,22910057;0,17005267;0,00843658;0,04107221;0,74871957;
1;1.000;10;1;10;0;10;0,68966881;86.564.074,46811594;281,45376204;139,89634715;141,55741489;88;1.360;0;0,51106361;0,94562523;0,97221316;0,09902098;10;10;10;6;5;9,00526189;9,01175461;6.144,6;4.868;4.685,8;14.868,4;1.626;12.217,2;7.204,3;1.054;1.010,5;1.854,1;10;5.612;162;70;182;599,4;15.293,7;3,4;7.289,4;80,1;0;0;44.839;20.098,2;35.319,1;19.645,5;3.566,2;5.047,2;1.905,7;46.455,98530622;21.512,44074499;9.760,35898393;1.931,46771321;272,14549277;16.151,99911366;492,20848171;73,6;80,7;181,4;2.126,9;415,6;1.318,5;923,3;7.956;0,00330454;0,35067815;0;;;165,65567228;80,99508629;84,66058598;16.760,43616127;102.083,95000178;20.251,7083817;8.127,66172237;1.469,66172237;2.035,56172237;60.366,17921052;0,05813419;0,00475653;0,11194117;0,67993883;
1;1.000;10;1;20;0;20;0,71506139;79.866.974,0905797;448,28725049;215,61341801;232,67383249;247;4.477;0;0,50971616;0,8914921;0,94469614;0,04988661;10;10;10;7,55;7;9,50520378;9,49502603;9.079,65;6.117,6;5.735,05;15.470,4;1.883,25;12.346,2;9.252,55;1.406,15;1.364,85;2.163,35;10;5.692;242;70;262;816,4;14.286,5;2,55;10.587,5;80,25;0;0;54.990,7;24.857,55;42.921,2;24.425,85;4.271,85;5.966,3;2.272,75;56.684,21364255;26.319,20323237;12.325,46249853;2.295,93508326;294,71709353;19.143,28106563;622,4434357;79;89,15;208,1;2.504,25;477,9;1.697,6;1.083;10.135,55;0,00567347;0,69761281;0;;;283,49382101;138,9924387;144,50138231;20.571,56756327;118.619,6794962;24.825,66305301;10.335,62941415;1.884,12941415;2.371,52941415;70.548,27483932;0,07357153;0,00725451;0,05211824;0,67323804;
