SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,AvgNumNodesPrepare,LocalReadOnlyTxLocalServiceTime,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,NumLocalRemoteLockContentions,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumRemoteLocalLockContentions,NumLocalLocalLockContentions,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,NumRemoteRemoteLockContentions,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180050,0,319,326,0,1,312046.3575429448,243926.73019122257,18.81264705882353,30398.372932515336,0.6465593345689208,2.0954469566666666E8,1,100000,UNIFORM,0,343,4240,24772,100,0,348,22997.0,0,10.0,28,22200,0,15172,31392,117,121,240371,3540,0,215,19089,211.0,15225,0,27,3.532964216138624,309667.0,100,970,4385,21868,0.5054263565891473,0.0,241922.0,3170,0,0,0,6.533742331288344,244225,0.0,1.0,0,2331,22695,327.0,0.0,167.0,0,0,0.27607361963190186,1,117,62369,96.69278996865204,0,0,0.0,24837,0,322,0,0.5061919504643962,0,29,0,96.69938650306749,0,100.0,0.35886393930072796,183,0,0.0,2123,1,550,28404.0,2571,279580,0.0,4,693,0.0,36290,137,1,10.0,0,0,9.723926380368098,2367,1397,4848,6222,28,64500,70,0.0,241911,3,0,0
1,179999,0,321,345,0,8,298833.41224927537,232078.19157009345,20.810172106824925,33873.80492463768,0.6301052732219503,1.5972874191304347E8,1,100000,UNIFORM,0,308,5259,27405,100,0,347,23432.0,0,10.0,28,22671,0,16781,59690,101,128,229267,4973,0,221,21126,400.0,17208,0,28,3.409076714895389,296862.0,100,1413,5786,2857,0.5180180180180181,0.0,230383.0,3370,0,0,0,6.060869565217391,201441,0.0,8.0,0,2165,24968,353.0,0.0,110.0,0,0,0.2318840579710145,1,103,64508,96.70093457943925,0,0,0.0,26400,0,322,0,0.5237388724035609,0,29,0,97.00579710144928,0,100.0,0.347663162277506,128,0,0.0,2006,1,549,30913.0,2425,263226,0.0,4,520,0.0,39847,120,8,10.0,0,0,9.768115942028986,2873,1403,5776,6222,28,66600,70,0.0,230371,3,0,0
2,180246,0,320,323,0,4,303134.8584891641,251977.270346875,30.53587635239567,32616.95641795666,0.7230510025494222,1.7947811584E8,1,100000,UNIFORM,0,320,5793,25593,100,0,348,26642.0,0,10.0,28,25854,0,16891,93614,105,123,248299,9440,0,237,20703,139.0,17354,0,28,3.5071736011477763,301042.0,100,1429,13240,4295,0.5023328149300156,0.0,249675.0,3100,0,0,0,6.625386996904025,188666,0.0,4.0,0,2311,22959,327.0,0.0,123.0,0,0,0.4024767801857585,1,108,62160,96.753125,0,0,0.0,26437,0,322,0,0.5054095826893354,0,29,0,96.59133126934985,0,100.0,0.31973765115802416,140,0,0.0,2127,1,548,30930.0,2555,268796,0.0,6,652,0.0,35505,127,4,10.0,0,0,9.597523219814242,2831,1923,6270,6222,28,64300,70,0.0,249662,3,0,0
3,180102,0,330,318,0,3,305904.13468867925,247396.07778787878,18.971910906298003,33641.1895345912,0.6252780629608502,1.819013136E8,1,100000,UNIFORM,0,327,5477,26990,100,0,348,25968.0,0,10.0,28,25180,0,17061,63084,99,117,244105,4327,0,236,20901,132.0,17189,0,27,3.4489858951920107,303830.0,100,1404,6044,10121,0.49074074074074076,0.0,245533.0,3030,0,0,0,6.767295597484277,198661,0.0,3.0,0,2299,24439,321.0,0.0,119.0,0,0,0.4716981132075472,1,102,62645,96.8,0,0,0.0,26852,0,322,0,0.4930875576036866,0,28,0,96.54402515723271,0,100.0,0.3057757644394111,136,0,0.0,2049,1,549,31338.0,2545,270461,0.0,2,596,0.0,40534,124,3,10.0,0,0,9.528301886792454,2845,1515,5944,6222,28,64800,70,0.0,245513,3,0,0
4,179986,0,310,339,0,8,296325.4349616519,248900.45358709677,33.38040639269406,33433.40245722714,0.6870870566764192,1.6950567547826087E8,1,100000,UNIFORM,0,314,5567,26738,100,0,347,25547.0,0,10.0,28,24772,0,17662,29479,102,124,245752,4013,0,233,21921,137.0,17813,0,27,3.505400914000831,294076.0,100,1439,4390,2441,0.522342064714946,0.0,246943.0,3320,0,0,0,6.3952802359882,185664,0.0,8.0,0,2258,23917,347.0,0.0,121.0,0,0,0.20648967551622419,1,104,62731,96.66129032258064,0,0,0.0,27099,0,322,0,0.528158295281583,0,29,0,96.65486725663717,0,100.0,0.33755712505193186,133,0,0.0,2041,1,550,31648.0,2497,260954,0.0,4,551,0.0,41533,123,8,10.0,0,0,9.793510324483776,2879,1327,5967,6222,28,64900,70,0.0,246931,3,0,0
5,180271,0,331,334,0,8,291102.8455479042,243391.04604229608,27.760184249628526,28550.930185628742,0.6552612239121768,1.7474758656E8,1,100000,UNIFORM,0,315,4233,23291,100,0,348,25127.0,0,10.0,28,24352,0,14545,29786,119,136,240241,4168,0,224,18807,122.0,14674,0,28,3.5596226802009636,288966.0,100,1120,4507,4916,0.5022556390977444,0.0,241509.0,3200,0,0,0,6.655688622754491,204119,0.0,8.0,0,2244,20924,342.0,0.0,109.0,0,0,0.41916167664670656,1,105,64277,96.8036253776435,0,0,0.0,25081,0,322,0,0.5081723625557206,0,29,0,96.5119760479042,0,100.0,0.3639905670050241,133,0,0.0,1977,1,552,29217.0,2476,260639,0.0,7,565,0.0,37993,119,8,10.0,0,0,9.580838323353293,2791,1162,4635,6222,28,66500,70,0.0,241500,6,0,0
6,179987,0,311,352,0,5,292026.47808238637,243012.14285530546,33.350498502994014,32528.556241477272,0.6849392098444063,1.6261898991304347E8,1,100000,UNIFORM,0,305,5162,26311,100,0,347,23204.0,0,10.0,29,22447,0,17042,59463,106,109,240267,4913,0,219,20431,120.0,17451,0,28,3.4209218021750387,289890.0,100,1370,6140,8261,0.530920060331825,0.0,241403.0,3450,0,0,0,6.142045454545454,195222,0.0,5.0,0,2235,23510,357.0,0.0,110.0,0,0,0.19886363636363635,1,101,64137,96.72025723472669,0,0,0.0,26025,0,322,0,0.5344311377245509,0,28,0,96.7528409090909,0,100.0,0.3635045567522784,132,0,0.0,2021,1,551,30472.0,2453,257603,0.0,1,517,0.0,34277,116,5,10.0,0,0,9.801136363636363,2855,1481,5558,6222,29,66300,70,0.0,241389,1,0,0
7,180256,0,349,336,2,5,280992.3265029762,239801.1586962751,27.02918352601156,30296.814625,0.6451010934827117,1.8861661568E8,1,100000,UNIFORM,0,306,4890,24209,100,0,348,23864.0,0,10.0,29,23084,0,14662,49975,108,105,236592,3456,0,218,19659,122.0,14893,0,28,3.459247000413736,278970.0,100,1394,6196,5285,0.4905109489051095,0.0,238009.0,3290,0,0,0,6.791666666666667,253012,2.0,5.0,0,2183,21659,341.0,0.0,110.0,0,0,0.20833333333333334,1,107,66217,96.63323782234957,0,0,0.0,24972,862,322,0,0.4956647398843931,0,20,0,96.70238095238095,407,100.0,0.3506412908564336,134,0,0.0,1983,1,551,29418.0,2398,248973,0.0,3,534,0.0,42047,122,7,10.0,0,0,9.791666666666666,2827,1871,5330,6222,29,68500,70,0.0,237988,8,0,0
8,180192,0,338,353,0,8,281949.2521586402,231256.53521597633,14.17486981402003,30059.060280453257,0.6100021299701764,1.8072197408E8,1,100000,UNIFORM,0,304,5063,23754,100,0,348,22097.0,0,10.0,29,21334,0,15898,54486,93,99,228349,4525,0,203,19494,107.0,16267,0,28,3.4758892460852433,280301.0,100,1368,5255,9062,0.5108538350217077,0.0,229613.0,3370,0,0,0,6.45042492917847,166705,0.0,8.0,0,2166,21218,361.0,0.0,97.0,0,0,0.45325779036827196,1,95,66819,96.73076923076923,0,0,0.0,23674,0,322,0,0.5164520743919886,0,28,0,96.6685552407932,0,100.0,0.38162397594109715,124,0,0.0,1839,1,553,28064.0,2372,250482,0.0,0,503,0.0,37674,113,8,10.0,0,0,9.546742209631729,2807,1461,5470,6222,29,69100,70,0.0,229599,6,0,0
9,180100,0,361,342,0,4,283739.7059444444,225831.1732465374,21.95699434229137,29918.433593567253,0.6820585176551875,1.7567680256E8,1,100000,UNIFORM,0,314,4885,24063,100,0,348,22211.0,0,10.0,28,21439,0,14136,46028,88,97,222853,6474,0,203,17582,105.0,14355,0,27,3.348481718653171,281567.0,100,1363,6903,6578,0.4864864864864865,0.0,224034.0,3320,0,0,0,6.783625730994152,207486,0.0,4.0,0,2147,21808,346.0,0.0,97.0,0,0,0.29239766081871343,1,90,67979,96.6842105263158,0,0,0.0,23183,0,322,0,0.4893917963224894,0,29,0,96.71345029239767,0,100.0,0.33567444742821734,117,0,0.0,1912,1,550,27549.0,2349,251883,0.0,5,510,0.0,35116,110,4,10.0,0,0,9.707602339181287,2792,1637,5268,6222,28,70300,70,0.0,224021,2,0,0
