SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,AvgRollbackRtt,RemoteUpdateTxPrepareServiceTime,RemoteContentionProbability,LocalUpdateTxPrepareResponseTime,AvgCommitAsync,LocalUpdateTxLocalServiceTime,AvgGetsPerWrTransaction,LocalUpdateTxLocalRollbackResponseTime,AvgNumSyncSentCommitMsgs,AvgCommitCommandSize,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,LocalReadOnlyTxPrepareResponseTime,AvgPutsPerWrTransaction,PercentageWriteTransactions,NumAbortedTxDueToValidation,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumWaitedRemoteGets,AvgLocalRemoteAbortLockHoldTime,AvgLocalSuccessfulLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgNumNodesRollback,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgRemoteGetsPerWrTransaction,AvgCommitRtt,NumReadsBeforeWrite,LocalUpdateTxLocalRollbackServiceTime,AvgLockHoldTime,RemoteGetServiceTime,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,GMUClusteredGetCommandResponseTime,WaitedTimeInLocalCommitQueue,RemotePutExecutionTime,AvgLocalLockHoldTime,AvgClusteredGetCommandReplySize,AvgNumNodesRemoteGet,NumOwnedRdItemsInRemotePrepare,AvgNumAsyncSentCommitMsgs,AvgGetsPerROTransaction,LocalUpdateTxTotalResponseTime,LocalUpdateTxTotalCpuTime,LocalUpdateTxLocalResponseTime,RemoteGetResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,LocalUpdateTxCommitServiceTime,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,PercentageSuccessWriteTransactions,WaitedTimeInRemoteCommitQueue,LocalUpdateTxRemoteRollbackResponseTime,LockContentionProbability,AvgRemoteLockHoldTime,ReadOnlyTxTotalResponseTime,NumAbortedXacts,RemoteUpdateTxCommitServiceTime,NumberOfRemotePuts,AvgNumPutsBySuccessfulLocalTx,AvgNumNodesCompleteNotification,AvgCompleteNotificationAsync,NumAbortedTxDueToNotLastValueAccessed,NumOwnedRdItemsInLocalPrepare,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,TerminationCost,RemotelyDeadXact,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareCommandSize,LocalUpdateTxCommitResponseTime,LocalUpdateTxRemoteRollbackServiceTime,AvgPrepareRtt,AvgNumNodesCommit,NumberOfGets,UpdateXactToPrepare,AvgRollbackCommandSize,WriteSkewProbability,LocalContentionProbability,GMUClusteredGetCommandServiceTime,AvgReadOnlyTxDuration,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,NumWaitedRemoteCommits,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,179989,0,257,2683,0,660,49845.7343898621,34068.12768093385,22.666103611111108,15575.097006336191,0.7823366042426888,7.854246713043478E7,1,1000,UNIFORM,0,0,185,0.0,13194,1576,3079,10,1193,0,322,338,3116.0,0,0,10.0,0.9286111111111112,7,2861,8,0,17225,13573,90,8,142,32114,1408,9.715989563920983,0,10.0,317,14001,262,1.0995319261679768,118,122.0,14771,24,14004,1213,1,1.1229464758876524,8,10,48051.0,4906.0,32759,3328,0.0,254,459,382,0.0,0.9125850340136055,12847,1688,0.0,14001,32531.0,660,101,25990,10.0,0,0,0,0.31159150204994407,11,5,69688,642.0,9.686917629519195,1242,0,3120,5818,1874,474,12165,8,29400,3343.0,70,0.0,2.0939276099311995E-4,103.0,32525,0.31308237048080506,1,84,28559,129,9.69260700389105,0,0,2228
1,179991,0,292,2772,0,695,47730.53923701299,35255.0201369863,16.70941819632881,14803.718003968253,0.6879614290810514,7.44612556521739E7,1,1000,UNIFORM,0,0,165,0.0,12649,1442,2924,10,1548,0,322,339,2893.0,0,0,10.0,0.9223197658951849,7,2674,8,0,16975,12390,77,8,139,33389,1327,9.686868686868687,0,10.0,330,14298,246,1.088380367106008,92,99.0,9282,26,12926,1230,1,1.1349209558080298,8,10,46095.0,4673.0,31527,3239,0.0,269,429,304,0.0,0.9046997389033943,13753,1563,0.0,14589,33779.0,695,85,26760,10.0,0,0,0,0.3401875901875902,7,6,65777,681.0,9.653679653679653,1203,0,3038,5818,1713,449,11654,8,30640,3467.0,70,0.0,5.768676088837612E-5,91.0,33757,0.3463203463203463,1,74,29693,157,9.729452054794521,0,0,2818
2,180007,0,254,2638,0,654,50747.29678089461,34578.7775,19.67638494077834,15773.596393100834,0.7377854668992222,7.890691652173913E7,1,1000,UNIFORM,0,0,188,0.0,13394,1642,3189,10,1183,0,322,338,3172.0,0,0,10.0,0.928369994359842,7,2936,8,0,17744,12919,95,8,149,32764,1736,9.739575435936315,0,10.0,344,13924,269,1.0346793349168646,120,116.0,10204,31,13586,1211,1,1.1121140142517816,8,10,49142.0,5080.0,33613,3376,0.0,239,472,356,0.0,0.9121715076071922,12871,2056,0.0,13996,33153.0,654,105,25810,10.0,0,0,0,0.28468536770280517,7,2,67916,640.0,9.783927217589083,1291,0,3150,5818,1904,493,12392,8,28920,3292.0,70,0.0,1.2150668286755772E-4,105.0,33147,0.21607278241091737,1,89,28166,129,9.736220472440944,0,0,2016
3,180006,0,250,2445,0,632,53054.075199591,38703.73970400001,17.38872046889089,16613.644889570554,0.7922858160613337,8.724712382608695E7,1,1000,UNIFORM,0,0,178,0.0,13876,1854,3218,10,1230,0,322,338,3359.0,0,0,10.0,0.9248572287345957,5,3135,8,0,19290,14537,91,8,184,36614,1979,9.643353783231085,0,10.0,327,14563,278,1.1129251700680272,103,117.0,16143,30,15257,1231,1,1.1659523809523809,8,10,51084.0,5059.0,34783,3624,0.0,338,450,434,0.0,0.9072356215213359,11272,2292,0.0,14438,36975.0,632,89,23620,10.0,0,0,0,0.3820040899795501,7,4,87805,619.0,9.660531697341513,1263,0,3371,5818,2167,495,12634,8,26950,3077.0,70,0.0,1.2999675008124796E-4,95.0,36965,0.3394683026584867,1,76,26010,268,9.728,0,0,2202
4,179992,0,235,2618,0,643,51220.99687471353,36662.96738297872,19.674732551487413,15936.702097784568,0.7265112332244862,8.889907756521739E7,1,1000,UNIFORM,0,0,179,0.0,13457,1671,3160,10,1062,0,322,338,3347.0,0,0,10.0,0.9327803203661327,11,3100,8,0,17450,13560,76,8,161,34906,1719,9.697860962566844,0,10.0,371,13929,269,1.1215131830340084,104,114.0,21419,30,14015,1225,1,1.1438288116163546,8,10,49390.0,5011.0,33738,3447,0.0,334,462,350,0.0,0.9176305643182615,16610,2022,0.0,13913,35361.0,643,91,25390,10.0,0,0,0,0.3349885408708938,10,3,83780,622.0,9.69824293353705,1262,0,3223,5818,1973,497,12392,8,28530,3261.0,70,0.0,1.5332720024532353E-4,95.0,35349,0.3017570664629488,1,77,27650,185,9.62127659574468,0,0,1800
5,180000,0,247,2425,0,643,53908.910728659794,39653.69365182186,27.578251282051284,16902.833924536084,0.8227937615641777,8.335685147826087E7,1,1000,UNIFORM,0,0,166,0.0,13938,2002,3033,10,1195,0,322,338,3148.0,0,0,10.0,0.9254901960784314,12,2930,8,0,18999,14796,78,8,168,37177,1810,9.529484536082474,0,10.0,288,14460,260,1.1479673846333693,94,116.0,9790,36,15305,1234,1,1.1964520559955578,8,10,51760.0,4849.0,35174,3671,0.0,431,438,419,0.0,0.9075598802395209,12839,2161,0.0,14290,37597.0,643,80,23130,10.0,0,0,0,0.5063917525773196,17,8,101744,614.0,9.538144329896907,1248,0,3417,5818,2332,473,12705,8,26720,3068.0,70,0.0,2.607561929595828E-4,89.0,37592,0.4618556701030928,1,71,25488,323,9.631578947368421,0,0,2221
6,179980,0,287,2696,0,662,49147.788169510386,34623.64891986062,17.895682853223594,15342.66228338279,0.7197885598693831,8.832173947826087E7,1,1000,UNIFORM,0,0,163,0.0,13058,1522,2849,10,552,0,322,339,2769.0,0,0,10.0,0.9212620027434842,5,2554,8,0,17181,12797,76,8,130,32772,1505,9.642433234421365,0,10.0,281,13946,243,1.1033262561924981,91,100.0,18920,28,13369,1226,1,1.155378627034678,8,10,47435.0,4575.0,32340,3331,0.0,346,424,316,0.0,0.9037881327522628,12645,1812,0.0,14067,33116.0,662,81,26070,10.0,0,0,0,0.388353115727003,15,4,72602,642.0,9.669881305637983,1184,0,3121,5818,1781,469,12072,8,29830,3358.0,70,0.0,2.6801667659321027E-4,85.0,33111,0.3301186943620178,1,70,28777,218,9.689895470383275,0,0,1868
7,179980,0,242,2709,0,747,47858.42781321521,34599.92283471075,16.456167117360735,15046.713784053156,0.6784399243032911,7.404460173913044E7,1,1000,UNIFORM,0,0,171,0.0,12875,1456,2957,10,732,0,322,338,2924.0,0,0,10.0,0.934559221200649,7,2686,8,0,16857,13030,82,8,136,32781,1369,9.69656699889258,0,10.0,312,13710,251,1.1205496564647095,99,104.0,7839,30,13590,1226,1,1.1300074956275505,8,10,46263.0,4756.0,31469,3254,0.0,293,446,304,0.0,0.917993900372755,12611,1608,0.0,13737,33267.0,747,92,26090,10.0,0,0,0,0.33407161314138056,10,1,71331,730.0,9.630860095976375,1230,0,3053,5818,1697,478,11981,8,29510,3456.0,70,0.0,1.4467592592592592E-4,92.0,33256,0.36913990402362495,1,76,28600,142,9.636363636363637,0,0,1243
8,180044,0,295,2908,0,693,46218.22293535075,32001.664955932203,18.341247176591377,14529.060603851445,0.6768640579570555,8.246145568E7,1,1000,UNIFORM,0,0,171,0.0,12624,1274,2794,10,599,0,322,338,2772.0,0,0,10.0,0.9242813141683778,6,2539,8,0,17084,13182,79,8,135,30175,1286,9.761348005502063,0,10.0,257,14209,234,1.0574243630573248,106,105.0,16888,25,13740,1215,1,1.1088773885350318,8,10,44733.0,4553.0,30414,3096,0.0,224,441,272,0.0,0.9078988448329691,11003,1548,0.0,14313,30502.0,693,99,28310,10.0,0,0,0,0.26237964236588723,14,6,62439,673.0,9.735213204951856,1203,0,2921,5818,1517,454,11718,8,32030,3601.0,70,0.0,8.33101916134407E-5,93.0,30496,0.26478679504814306,1,77,31264,95,9.75593220338983,0,0,1496
9,180043,0,284,2724,0,693,48320.29515088106,34598.578978873236,17.143185625506618,15223.710653817914,0.7069578416419829,9.139147233333333E7,1,1000,UNIFORM,0,0,158,0.0,12956,1507,2706,10,1055,0,322,338,2708.0,0,0,10.0,0.9232639827073764,7,2487,8,0,16563,12680,76,8,146,32862,1446,9.633259911894273,0,10.0,315,14262,229,1.1079535727736503,86,93.0,27465,30,13252,1216,1,1.1632485363097886,8,10,46608.0,4421.0,31634,3267,0.0,319,421,290,0.0,0.9055851063829787,14999,1749,0.0,14478,33204.0,693,76,26110,10.0,0,0,0,0.40602055800293685,17,7,72096,669.0,9.585168869309838,1177,0,3073,5818,1813,461,11930,8,30080,3417.0,70,0.0,2.0485806262803628E-4,82.0,33197,0.41483113069016153,1,66,28968,236,9.602112676056338,0,0,2024
