SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,AvgNumNodesPrepare,LocalReadOnlyTxLocalServiceTime,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,NumLocalRemoteLockContentions,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumRemoteLocalLockContentions,NumLocalLocalLockContentions,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,NumRemoteRemoteLockContentions,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180079,0,240,244,3,262,248651.43493032787,201901.3620375,15.910664886515352,23217.224790983608,0.6521457787170053,7.026810368E7,1,1000,UNIFORM,0,350,2919,19274,100,0,265,21253.0,0,10.0,19,20457,13,10633,23604,123,137,198395,2937,0,201,17239,75.0,14336,1,18,3.7720448297737366,246703.0,100,829,3242,4971,0.5041322314049587,0.0,199767.0,2360,0,0,0,8.602459016393443,196028,3.0,248.0,0,2024,17331,506.0,0.0,69.0,0,0,0.32786885245901637,1,107,46195,94.8125,0,0,0.0,22889,5401,242,0,0.6795727636849133,0,19,1,96.06557377049181,883,100.0,0.3774582364136181,166,0,14.0,2016,1,721,26101.0,2167,223809,0.0,204,622,0.0,17758,142,265,10.0,1,0,9.672131147540984,2180,835,3292,6118,19,48400,70,1.9727756954034326E-4,199754,3,0,9384
1,180141,0,250,296,3,249,240704.428125,204007.205976,16.8010664160401,21771.67735472973,0.5846543856523393,6.93726336E7,1,1000,UNIFORM,0,348,2881,17677,100,0,265,21219.0,0,10.0,19,20448,21,12187,22855,105,99,201120,2563,0,183,17130,63.0,14983,2,18,4.283010889100328,238380.0,100,880,3041,1713,0.5421245421245421,0.0,202429.0,2850,0,0,0,7.591216216216216,240644,3.0,225.0,0,1921,15756,545.0,0.0,58.0,0,0,0.3716216216216216,1,102,52254,96.02,0,0,0.0,21786,2271,242,0,0.6867167919799498,0,19,2,95.4358108108108,743,100.0,0.46622264509990485,142,0,24.0,1764,1,763,25110.0,2045,216877,0.0,274,563,0.0,17490,135,252,10.0,3,0,9.628378378378379,2239,853,3247,6119,19,54600,70,3.6656891495601173E-4,202420,1,0,3188
2,180120,0,230,253,6,268,245025.927770751,210949.5424695652,31.032376486129458,21871.68604347826,0.6828037336421438,7.18088368E7,1,1000,UNIFORM,0,363,3041,17666,100,0,265,21215.0,0,10.0,19,20428,6,11681,24116,119,112,207485,2953,0,189,16857,65.0,15831,4,18,5.1459679099812465,242897.0,100,919,3492,6522,0.5238095238095238,0.0,208951.0,2380,0,0,0,9.82213438735178,179937,6.0,257.0,0,2029,15746,521.0,0.0,60.0,0,0,0.5928853754940712,1,109,45685,94.77826086956522,0,0,0.0,21532,2097,242,0,0.6961690885072656,0,19,4,94.41106719367589,609,100.0,0.4719241587665382,168,0,11.0,1917,1,741,24876.0,2167,221317,0.0,255,680,0.0,17024,147,274,10.0,5,0,9.40711462450593,2218,911,3522,6118,19,48300,70,7.658433850277618E-4,208939,2,0,5133
3,179993,0,257,249,4,269,244214.35883534135,199352.3055136187,18.229423620025674,22010.226795180723,0.632495504096557,5.8994856E7,1,1000,UNIFORM,0,341,2711,18311,100,0,265,19954.0,0,10.0,19,19185,7,10288,23868,109,92,196217,2547,0,186,16356,65.0,14663,2,18,4.376415094339623,242236.0,100,839,2942,0,0.49209486166007904,0.0,197453.0,2380,0,0,0,8.887550200803213,150429,4.0,258.0,0,1971,16104,518.0,0.0,60.0,0,0,0.44176706827309237,1,104,48268,95.33463035019456,0,0,0.0,22167,1653,242,0,0.6700898587933247,0,19,2,95.44979919678715,651,100.0,0.41190650875170315,147,0,11.0,1937,1,740,25333.0,2096,220472,0.0,236,587,0.0,16644,136,273,10.0,4,0,9.558232931726907,2127,843,3124,6118,19,50600,70,3.8550501156515033E-4,197429,0,0,3345
4,180078,0,227,272,1,277,239264.86920220588,199561.83376211452,16.687337194337193,22034.1941875,0.6394261497587264,7.443800544E7,1,1000,UNIFORM,0,354,2896,18113,100,0,265,19701.0,0,10.0,19,18928,19,11722,24332,116,99,196350,2867,0,183,16696,62.0,15821,0,18,4.775774826059456,237058.0,100,820,3166,3861,0.5450901803607214,0.0,197799.0,2590,0,0,0,8.448529411764707,146932,1.0,257.0,0,1962,16205,549.0,0.0,57.0,0,0,0.47794117647058826,1,106,47481,94.97797356828194,0,0,0.0,20481,5427,242,0,0.7078507078507078,0,19,0,95.29779411764706,853,100.0,0.5313092979127134,162,0,20.0,1850,1,753,23653.0,2091,215286,0.0,295,627,0.0,16839,142,278,10.0,1,0,9.522058823529411,2152,856,3359,6118,19,49900,70,0.0,197786,5,0,6507
5,180045,0,282,251,0,253,236207.59998406374,208579.73419148938,24.49263486005089,23107.513609561753,0.6449968078781603,8.177574266666667E7,1,1000,UNIFORM,0,341,2974,19093,100,0,266,19756.0,0,10.0,19,18971,15,11541,23212,101,97,205264,2886,0,177,17656,60.0,14933,2,18,5.722094481605351,234472.0,100,858,3219,7369,0.4709193245778612,0.0,206758.0,2390,0,0,0,11.665338645418327,152412,0.0,234.0,0,1985,16856,504.0,0.0,55.0,0,0,0.47808764940239046,1,95,50226,94.48581560283688,0,0,0.0,20200,3399,242,0,0.6412213740458015,0,19,2,93.94820717131473,753,100.0,0.530880969798307,138,0,19.0,1844,1,768,23419.0,2117,211610,0.0,282,574,0.0,18112,129,253,10.0,4,0,9.52191235059761,2168,851,3450,6117,19,53300,70,3.968253968253968E-4,206748,4,0,3887
6,180042,0,241,259,3,277,242839.77823938223,202538.95658091287,23.480116666666664,22239.29581081081,0.7009976758840467,8.0059094E7,1,1000,UNIFORM,0,334,2838,18472,100,0,265,19164.0,0,10.0,19,18392,21,11648,23947,101,96,199236,2954,0,179,17715,63.0,15299,1,18,5.50972967287262,240629.0,100,822,3438,3906,0.518,0.0,200906.0,2430,0,0,0,10.50965250965251,289995,3.0,252.0,0,1983,16494,536.0,0.0,56.0,0,0,0.6177606177606177,1,96,47132,94.53941908713693,0,0,0.0,21161,2787,242,0,0.691025641025641,0,19,1,94.00772200772201,673,100.0,0.5899673993059207,146,0,25.0,1902,1,784,24325.0,2108,218643,0.0,326,579,0.0,18114,132,280,10.0,4,0,9.382239382239382,2143,821,3225,6116,19,50000,70,1.8635855385762206E-4,200890,5,0,3999
7,180064,0,285,277,3,258,232648.7652635379,192145.90300350878,20.05110814094775,22576.24067870036,0.5950085309698175,6.82387408E7,1,1000,UNIFORM,0,324,3083,18589,100,0,266,19403.0,0,10.0,19,18634,10,10181,21782,100,89,189323,2777,0,177,17423,61.0,13126,5,18,4.017947635135135,230611.0,100,848,3004,8955,0.4928825622775801,0.0,190507.0,2640,0,0,0,8.808664259927799,146735,3.0,238.0,0,1865,16867,535.0,0.0,58.0,0,0,0.4693140794223827,1,96,53626,95.15087719298245,0,0,0.0,20748,4310,242,0,0.6537059538274606,0,19,5,95.69675090252707,623,100.0,0.41173986486486486,131,0,20.0,1765,1,728,23952.0,1989,208298,0.0,237,502,0.0,18210,127,261,10.0,10,0,9.530685920577618,2159,844,3422,6119,19,56200,70,9.333582228859437E-4,190486,1,0,7707
8,180063,0,266,286,5,245,236925.75076923077,198166.4597857143,21.442990024937654,22497.421083916084,0.6449599349656423,6.220026816E7,1,1000,UNIFORM,0,325,2750,18871,100,0,265,19365.0,0,10.0,19,18611,11,10135,23049,100,97,195139,2682,0,177,17450,60.0,13576,1,18,3.842332841172748,235261.0,100,802,3006,12577,0.5181159420289855,0.0,196516.0,2730,0,0,0,8.1993006993007,123029,5.0,230.0,0,1920,17026,531.0,0.0,56.0,0,0,0.45454545454545453,1,96,52746,95.0,0,0,0.0,20666,3507,242,0,0.6683291770573566,0,19,1,96.06993006993007,658,100.0,0.4049351471053464,136,0,15.0,1765,1,721,23703.0,2036,212985,0.0,182,501,0.0,18175,126,250,10.0,4,0,9.545454545454545,2049,800,3120,6119,19,55200,70,1.8796992481203009E-4,196504,4,0,6585
9,180030,0,277,288,1,279,215081.41941666667,191031.4617075812,18.8510674556213,20765.143777777776,0.6764946567371545,6.6332538333333336E7,1,1000,UNIFORM,0,302,2667,17154,100,0,265,18752.0,0,10.0,19,18054,15,11198,22356,89,89,188376,2173,0,167,17703,55.0,14636,1,18,4.857719260989595,213438.0,100,740,2512,6949,0.5097345132743363,0.0,189510.0,2750,0,0,0,8.878472222222221,124957,1.0,263.0,0,1831,15467,567.0,0.0,51.0,0,0,0.4513888888888889,1,84,53812,95.7581227436823,0,0,0.0,18562,2350,242,0,0.672189349112426,0,19,1,94.74652777777777,697,100.0,0.4671904863028244,119,0,16.0,1672,1,770,21455.0,1942,192880,0.0,263,449,0.0,18249,114,280,10.0,1,0,9.54861111111111,1978,744,3125,6118,19,56500,70,1.763046544428773E-4,189501,2,0,3479
