SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,AvgNumNodesPrepare,LocalReadOnlyTxLocalServiceTime,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,NumLocalRemoteLockContentions,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumRemoteLocalLockContentions,NumLocalLocalLockContentions,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,NumRemoteRemoteLockContentions,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180003,0,715,82,0,38,250802.64635365852,206979.25048111888,12.426591616766467,28612.995475609758,0.6698175005032625,6.352112417391305E7,1,1000,UNIFORM,0,485,4887,22709,100,0,350,23313.0,0,10.0,28,22328,0,2868,37376,181,109,203428,4671,0,215,14211,57.0,3980,0,27,2.736267071320182,248754.0,100,1476,5075,0,0.1028858218318695,0.0,204978.0,800,0,0,0,31.865853658536587,211928,0.0,38.0,0,1930,20249,120.0,0.0,56.0,0,0,0.24390243902439024,1,157,76966,96.5006993006993,0,0,0.0,24276,0,322,0,0.1437125748502994,0,28,0,97.17073170731707,0,100.0,0.27921092564491656,215,0,0.0,1929,1,592,28956.0,2109,220382,0.0,18,830,0.0,25687,190,38,10.0,0,0,9.75609756097561,2974,1646,5333,6197,28,79700,70,0.0,204960,0,0,0
1,180222,0,740,96,0,38,248067.22640625,198971.34095405406,18.286729977116707,29209.49878125,0.5924745901770299,5.405066592E7,1,1000,UNIFORM,0,461,4220,23748,100,0,350,22506.0,0,10.0,28,21596,1,4394,29032,152,108,195810,3342,0,204,16184,54.0,5464,0,27,3.37396449704142,245996.0,100,1267,3933,5699,0.11483253588516747,0.0,197220.0,910,0,0,0,25.791666666666668,159246,0.0,36.0,0,1851,21110,134.0,0.0,53.0,0,0,0.5208333333333334,1,146,81009,96.96891891891892,0,0,0.0,24208,3739,322,0,0.15331807780320367,0,27,0,96.375,954,100.0,0.3254437869822485,213,0,2.0,1860,1,611,28787.0,2012,217069,0.0,18,715,0.0,25645,180,38,10.0,1,0,9.479166666666666,3089,1139,4766,6198,28,83600,70,0.0,197197,1,0,7762
2,180088,0,707,87,0,36,272123.36950574716,207665.41800848657,24.16972891566265,33076.3673908046,0.6464131516099033,6.16927616E7,1,1000,UNIFORM,0,480,4543,27381,100,0,350,23518.0,0,10.0,28,22512,1,2955,34853,192,112,203778,4159,0,216,14131,58.0,3997,0,27,2.826975067587864,270217.0,100,1284,4531,0,0.10957178841309824,0.0,205435.0,840,0,0,0,33.804597701149426,297634,0.0,35.0,0,1933,24271,123.0,0.0,54.0,0,0,0.3448275862068966,1,160,76312,95.94625176803395,0,0,0.0,25978,4989,322,0,0.14819277108433734,0,28,0,97.44827586206897,1261,100.0,0.2763592670471613,225,0,1.0,2013,1,579,30625.0,2124,237407,0.0,17,872,0.0,26702,192,36,10.0,0,0,9.655172413793103,3137,1239,5093,6197,28,79400,70,0.0,205418,0,0,5919
3,180036,0,719,92,1,28,256700.51519565217,206885.04006815024,23.384880952380954,32348.262304347823,0.6563769568603054,5.2576455E7,1,1000,UNIFORM,0,493,5160,25887,100,0,350,23949.0,0,10.0,28,23027,1,5031,31755,166,107,203472,4653,0,218,17424,62.0,5911,0,27,3.5085235481074832,254517.0,100,1462,5416,0,0.11344019728729964,0.0,204786.0,890,0,0,0,26.054347826086957,183234,1.0,27.0,0,1911,22881,120.0,0.0,58.0,0,0,0.32608695652173914,1,150,78579,97.0,0,0,0.0,24764,2184,322,0,0.14404761904761904,0,27,0,96.04347826086956,768,100.0,0.3293845709332563,218,0,1.0,1998,1,617,29750.0,2092,222458,0.0,30,828,0.0,26541,189,29,10.0,0,0,9.673913043478262,3285,1459,5793,6198,28,81100,70,0.0,204766,0,0,4400
4,180077,0,714,94,0,30,247508.1045106383,208871.6817857143,20.814087112171837,32535.544797872342,0.6156613950723936,6.664608896E7,1,1000,UNIFORM,0,492,5418,26029,100,0,350,24420.0,0,10.0,28,23490,1,4858,29362,167,121,205491,5236,0,219,15788,62.0,5883,0,27,3.179524787327662,245776.0,100,1497,5928,15763,0.11633663366336634,0.0,206888.0,890,0,0,0,24.74468085106383,226077,0.0,29.0,0,1916,23159,124.0,0.0,58.0,0,0,0.5319148936170213,1,156,78336,97.0126050420168,0,0,0.0,23114,7108,322,0,0.14797136038186157,0,29,0,96.47872340425532,1685,100.0,0.34320915224405985,226,0,1.0,1770,1,606,28160.0,2096,213516,0.0,40,863,0.0,24002,193,30,10.0,0,0,9.46808510638298,3313,1410,5904,6198,28,80800,70,0.0,206861,1,0,7507
5,180026,0,740,86,0,37,247213.82839534886,201731.29760270272,15.437402085747394,28210.463220930233,0.6602015530209137,5.9428904333333336E7,1,1000,UNIFORM,0,502,5341,21678,100,0,350,22431.0,0,10.0,28,21473,0,3936,33046,168,104,198289,4068,0,203,16982,57.0,5403,0,27,4.098095787651472,244490.0,100,1494,4596,3185,0.10411622276029056,0.0,199944.0,830,0,0,0,31.988372093023255,194716,0.0,37.0,0,1877,18780,123.0,0.0,53.0,0,0,0.3488372093023256,1,160,79702,96.54054054054055,0,0,0.0,22726,0,322,0,0.1425260718424102,0,28,0,96.06976744186046,0,100.0,0.4586097490625901,231,0,0.0,1793,1,627,27610.0,2047,216638,0.0,25,817,0.0,25913,198,37,10.0,0,0,9.651162790697674,3139,1465,5812,6198,28,82600,70,0.0,199927,1,0,0
6,180003,0,682,83,0,44,254160.4552891566,213566.1536466276,33.629730531520394,30062.522650602412,0.628633695448683,5.254949947826087E7,1,1000,UNIFORM,0,495,5124,23565,100,0,350,24508.0,0,10.0,28,23572,1,4483,39819,187,115,210179,4779,0,223,17773,64.0,6805,0,27,3.4493094328533647,252288.0,100,1523,5645,0,0.1084967320261438,0.0,211546.0,790,0,0,0,25.867469879518072,181212,0.0,43.0,0,1978,20952,127.0,0.0,60.0,0,0,0.4819277108433735,1,168,74249,97.14369501466275,0,0,0.0,24027,6597,322,0,0.15698393077873918,0,28,0,96.34939759036145,1719,100.0,0.34969144872171615,227,0,1.0,2011,1,622,29146.0,2162,222538,0.0,30,814,0.0,25884,201,44,10.0,0,0,9.518072289156626,3352,1578,5627,6199,28,76500,70,0.0,211526,0,0,6912
7,180065,0,771,85,0,27,236539.27624705882,199005.20873411154,15.953996602491507,26967.011505882354,0.5151317538966369,6.240687968E7,1,1000,UNIFORM,0,483,3995,22084,100,0,350,22664.0,0,10.0,28,21736,2,3325,32029,165,105,195923,3835,0,204,16752,58.0,4366,0,27,3.4313668224299065,234762.0,100,1342,4323,13606,0.09929906542056074,0.0,197336.0,810,0,0,0,29.11764705882353,147999,0.0,25.0,0,1839,19695,112.0,0.0,53.0,0,0,0.47058823529411764,1,156,83015,97.02334630350195,0,0,0.0,21900,3844,322,0,0.12684031710079274,0,28,0,96.58823529411765,1459,100.0,0.3621495327102804,221,0,2.0,1734,1,624,26664.0,2003,208035,0.0,27,746,0.0,26612,189,27,10.0,0,0,9.529411764705882,3203,1342,4377,6199,28,85600,70,0.0,197324,1,0,4991
8,180084,0,736,107,1,42,245798.46742990654,193838.18175815218,29.8203769751693,30277.248626168224,0.6199443192429488,6.350499808E7,1,1000,UNIFORM,0,436,5280,23965,100,0,349,20357.0,0,10.0,29,19363,0,3132,35494,163,107,190300,4158,0,187,12239,48.0,4002,0,28,2.3380462724935733,243344.0,100,1457,4808,0,0.1269276393831554,0.0,191908.0,1040,0,0,0,29.757009345794394,209885,1.0,41.0,0,1829,21373,149.0,0.0,47.0,0,0,0.2803738317757009,1,144,80940,95.78396739130434,0,0,0.0,21821,323,322,0,0.16930022573363432,0,27,0,97.59813084112149,317,100.0,0.2795629820051414,198,0,1.0,1894,1,576,26506.0,1985,213288,0.0,13,650,0.0,26298,175,43,10.0,1,0,9.719626168224298,3008,1445,5714,6199,29,84300,70,0.0,191896,0,0,0
9,180125,0,777,83,0,27,252045.5339879518,195650.20150321748,16.67348365276212,27972.78637349398,0.5505988070380142,5.795267328E7,1,1000,UNIFORM,0,477,5105,21590,100,0,350,21693.0,0,10.0,28,20834,0,3421,36568,147,97,192394,3563,0,198,16527,55.0,4811,0,27,3.15468473777254,250347.0,100,1228,4086,0,0.09651162790697675,0.0,193835.0,790,0,0,0,23.674698795180724,141201,0.0,27.0,0,1831,18522,110.0,0.0,54.0,0,0,0.4819277108433735,1,138,83945,97.67052767052768,0,0,0.0,22456,0,322,0,0.12401352874859076,0,28,0,97.04819277108433,0,100.0,0.32077692760447324,192,0,0.0,1789,1,622,27031.0,1981,222674,0.0,23,716,0.0,24976,174,27,10.0,0,0,9.518072289156626,3131,1302,5694,6198,28,86000,70,0.0,193823,0,0,0
