SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,AvgNumNodesPrepare,LocalReadOnlyTxLocalServiceTime,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,NumLocalRemoteLockContentions,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumRemoteLocalLockContentions,NumLocalLocalLockContentions,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,NumRemoteRemoteLockContentions,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180145,0,57,516,6,372,190603.67522868217,162483.5857017544,26.37083701366982,14264.862893410853,0.6299537309305007,9.049133184E7,1,1000,UNIFORM,0,383,1583,11774,100,0,183,16253.0,0,10.0,10,15440,39,11977,16555,112,80,159080,1522,0,157,11966,53.0,13170,4,9,8.977685521536067,188796.0,100,611,1870,4846,0.900523560209424,0.0,160742.0,4590,0,0,0,10.414728682170542,163069,6.0,328.0,0,1666,10128,888.0,0.0,50.0,0,0,1.1046511627906976,1,106,51674,88.3859649122807,0,0,0.0,17754,1919,162,0,0.9400630914826499,0,9,4,90.37984496124031,616,100.0,0.9548521017125065,157,0,44.0,1602,1,682,20208.0,1759,174748,0.0,381,623,0.0,11559,147,378,10.0,5,0,8.895348837209303,1648,621,1965,6039,10,57300,70,4.49842555105713E-4,160735,9,0,3077
1,179991,0,53,597,4,380,175701.7824120603,152877.2499056604,22.841593810444877,13177.603819095477,0.7080942613173599,7.947947826086956E7,1,1000,UNIFORM,0,372,1170,11119,100,0,183,18111.0,0,10.0,9,17335,36,11506,15502,97,74,150049,1200,0,151,11808,54.0,12478,1,8,8.466025809849882,173826.0,100,560,1496,5454,0.9184615384615384,0.0,151466.0,5370,0,0,0,9.135678391959798,243694,4.0,341.0,0,1516,9765,977.0,0.0,49.0,0,0,1.0050251256281406,1,94,59275,91.16981132075472,0,0,0.0,17121,1772,162,0,0.9487427466150871,0,9,1,91.19430485762145,527,100.0,0.8914932841717145,135,0,39.0,1430,1,682,19410.0,1597,160855,0.0,370,552,0.0,11574,128,384,10.0,3,0,8.99497487437186,1552,547,1502,6038,9,65000,70,1.0227040294538761E-4,151457,4,0,2546
2,180018,0,50,520,3,374,192088.63214807693,160293.74519999998,31.314998944033793,14704.393553846154,0.6935549310258898,8.170188939130434E7,1,1000,UNIFORM,0,394,1659,12025,100,0,183,15925.0,0,10.0,10,15132,42,13174,15599,112,83,154395,1592,0,156,12126,58.0,13498,5,9,9.447398993158641,189950.0,100,643,2054,4411,0.9122807017543859,0.0,158108.0,4620,0,0,0,10.592307692307692,187642,3.0,323.0,0,1665,10508,894.0,0.0,54.0,0,0,1.1153846153846154,1,110,51213,90.86,0,0,0.0,17792,2019,162,0,0.9472016895459345,0,9,5,89.75,618,100.0,0.9512132163138874,155,2889,51.0,1554,1,676,20339.0,1767,175496,0.0,365,615,0.0,11675,150,377,10.0,8,1,8.884615384615385,1700,650,2052,6039,10,57000,70,5.589090096132349E-4,158097,9,0,2613
3,180139,0,67,550,5,380,176629.07766545453,162611.07807462686,19.991056886227543,12824.47612,0.6282101218521783,9.777231456E7,1,1000,UNIFORM,0,404,1454,10463,100,0,183,17210.0,0,10.0,10,16399,34,10850,15409,114,84,159684,1274,0,155,11557,52.0,12015,4,9,9.936503788868565,174502.0,100,565,1606,4138,0.8914100486223663,0.0,161027.0,4890,0,0,0,11.52909090909091,169790,5.0,340.0,0,1588,9009,930.0,0.0,48.0,0,0,1.1090909090909091,1,98,55060,89.80597014925372,0,0,0.0,16899,1842,162,0,0.9331337325349301,0,9,4,89.16909090909091,542,100.0,1.0569636791220276,145,0,40.0,1507,1,663,19261.0,1685,161918,0.0,374,719,0.0,11397,137,385,10.0,6,0,8.89090909090909,1612,583,1809,6038,10,61700,70,4.296455424274973E-4,161018,9,0,2641
4,180057,0,70,548,5,386,176287.034959854,165655.52769999998,19.594383548067395,13579.550111313869,0.5514447690285106,8.142451872E7,1,1000,UNIFORM,0,383,1297,11416,100,0,183,19263.0,0,10.0,10,18389,34,11435,16421,94,75,162467,1294,0,151,11732,53.0,12757,1,9,8.917219836001562,174432.0,100,562,1750,6675,0.8867313915857605,0.0,163868.0,4980,0,0,0,10.344890510948906,129814,5.0,348.0,0,1561,10150,934.0,0.0,50.0,0,0,0.9124087591240876,1,95,55831,88.7,0,0,0.0,16718,1642,162,0,0.9306243805748265,0,9,1,90.55109489051095,526,100.0,0.8629441624365483,135,6430,38.0,1495,1,658,19033.0,1648,161070,0.0,332,606,0.0,11374,130,391,10.0,4,2,9.087591240875913,1573,589,1676,6038,10,61800,70,1.0686044026501389E-4,163859,3,0,2480
5,180078,0,50,581,5,353,182113.12688468158,150247.59568,24.0358675429727,13797.096096385543,0.6011096944610932,9.970658533333333E7,1,1000,UNIFORM,0,387,1407,11413,100,0,183,15446.0,0,10.0,10,14688,47,12123,15331,98,80,147402,1466,0,154,11972,53.0,12549,4,9,10.886354699174204,180326.0,100,576,1843,5079,0.9207606973058637,0.0,148555.0,5160,0,0,0,11.65748709122203,187686,5.0,298.0,0,1616,9881,934.0,0.0,48.0,0,0,1.1187607573149743,1,94,55988,89.12,0,0,0.0,17277,1612,162,0,0.9494438827098078,0,9,4,88.69535283993115,522,100.0,1.116791191506095,156,0,55.0,1580,1,670,19627.0,1712,166745,0.0,408,596,0.0,11781,135,358,10.0,8,0,8.881239242685027,1592,584,1815,6038,10,63100,70,4.27807486631016E-4,148532,10,0,2379
6,180008,0,63,561,2,357,182963.47042067736,162455.32858730157,25.065182095625634,13008.997465240642,0.5983759415118063,8.13365036521739E7,1,1000,UNIFORM,0,381,1263,10888,100,0,183,16499.0,0,10.0,10,15734,42,11187,15054,91,83,159558,1281,0,149,11947,51.0,12009,2,9,10.067442164422951,181162.0,100,546,1585,2804,0.8990384615384616,0.0,160657.0,4990,0,0,0,11.322638146167558,165732,2.0,310.0,0,1630,9284,918.0,0.0,48.0,0,0,1.1051693404634582,1,90,55741,89.76190476190476,0,0,0.0,16832,2169,162,0,0.9359104781281791,0,9,2,89.27985739750446,533,100.0,1.0271824359644537,145,0,47.0,1584,1,667,19090.0,1721,168358,0.0,378,573,0.0,11923,126,359,10.0,5,0,8.894830659536542,1538,541,1633,6038,10,62400,70,2.1777003484320557E-4,160649,5,0,2760
7,180095,0,67,574,5,372,179803.72389721253,161981.06349253733,29.921811394891947,13845.707564459932,0.6693939456579304,8.57642208E7,1,1000,UNIFORM,0,379,1330,11545,100,0,183,17388.0,0,10.0,10,16609,42,11411,16810,94,79,159170,1356,0,149,11884,51.0,12701,2,9,9.668372703412073,177945.0,100,582,1818,737,0.8954758190327613,0.0,160284.0,5160,0,0,0,10.77177700348432,162756,5.0,323.0,0,1555,10080,946.0,0.0,48.0,0,0,1.0104529616724738,1,92,57582,88.91044776119404,0,0,0.0,17022,1654,162,0,0.9341846758349706,0,9,2,89.9390243902439,525,100.0,1.015748031496063,146,0,49.0,1492,1,678,19393.0,1644,164339,0.0,392,590,0.0,11600,131,377,10.0,7,0,8.989547038327526,1611,578,1716,6039,10,64100,70,2.1119324181626187E-4,160276,4,0,2395
8,180052,0,54,577,5,364,180754.36013344888,159918.52657407406,26.885002,13059.475849220105,0.5298958973084431,8.650801632E7,1,1000,UNIFORM,0,376,1348,10862,100,0,183,17145.0,0,10.0,10,16368,43,11435,15454,91,73,156111,1247,0,152,11874,53.0,12275,2,9,9.693383891213388,178932.0,100,549,1538,1532,0.9144215530903328,0.0,157451.0,5090,0,0,0,10.731369150779896,142822,5.0,316.0,0,1593,9466,941.0,0.0,48.0,0,0,1.1785095320623917,1,89,56599,89.42592592592592,0,0,0.0,17125,1711,162,0,0.946,0,9,2,89.72270363951473,511,100.0,1.0172594142259415,132,0,48.0,1498,1,678,19390.0,1686,166083,0.0,391,561,0.0,11736,126,369,10.0,5,0,8.821490467937608,1544,542,1719,6039,10,63100,70,2.1231422505307856E-4,157443,6,0,2441
9,180067,0,55,581,5,362,177260.21506024097,158959.3898181818,25.074291126620142,13571.265117039587,0.7428597597025555,7.107950816E7,1,1000,UNIFORM,0,365,1245,11509,100,0,183,17078.0,0,10.0,9,16335,31,11468,15551,93,82,156277,1423,0,151,11946,50.0,12495,1,8,8.770879334978568,175491.0,100,542,1747,2377,0.9135220125786163,0.0,157433.0,5160,0,0,0,9.585197934595525,132179,5.0,327.0,0,1567,9854,943.0,0.0,48.0,0,0,1.1187607573149743,1,91,57760,91.30909090909091,0,0,0.0,16998,1590,162,0,0.9451645064805583,0,9,1,90.7710843373494,511,100.0,0.8663462787374984,152,0,35.0,1483,1,668,19231.0,1653,162135,0.0,297,538,0.0,11758,126,367,10.0,4,0,8.881239242685027,1521,541,1570,6038,9,63600,70,1.0583130489998942E-4,157416,6,0,2548
