SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,AvgRollbackRtt,RemoteUpdateTxPrepareServiceTime,RemoteContentionProbability,LocalUpdateTxPrepareResponseTime,AvgCommitAsync,LocalUpdateTxLocalServiceTime,AvgGetsPerWrTransaction,LocalUpdateTxLocalRollbackResponseTime,AvgNumSyncSentCommitMsgs,AvgCommitCommandSize,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,LocalReadOnlyTxPrepareResponseTime,AvgPutsPerWrTransaction,PercentageWriteTransactions,NumAbortedTxDueToValidation,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumWaitedRemoteGets,AvgLocalRemoteAbortLockHoldTime,AvgLocalSuccessfulLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgNumNodesRollback,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgRemoteGetsPerWrTransaction,AvgCommitRtt,NumReadsBeforeWrite,LocalUpdateTxLocalRollbackServiceTime,AvgLockHoldTime,RemoteGetServiceTime,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,GMUClusteredGetCommandResponseTime,WaitedTimeInLocalCommitQueue,RemotePutExecutionTime,AvgLocalLockHoldTime,AvgClusteredGetCommandReplySize,AvgNumNodesRemoteGet,NumOwnedRdItemsInRemotePrepare,AvgNumAsyncSentCommitMsgs,AvgGetsPerROTransaction,LocalUpdateTxTotalResponseTime,LocalUpdateTxTotalCpuTime,LocalUpdateTxLocalResponseTime,RemoteGetResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,LocalUpdateTxCommitServiceTime,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,PercentageSuccessWriteTransactions,WaitedTimeInRemoteCommitQueue,LocalUpdateTxRemoteRollbackResponseTime,LockContentionProbability,AvgRemoteLockHoldTime,ReadOnlyTxTotalResponseTime,NumAbortedXacts,RemoteUpdateTxCommitServiceTime,NumberOfRemotePuts,AvgNumPutsBySuccessfulLocalTx,AvgNumNodesCompleteNotification,AvgCompleteNotificationAsync,NumAbortedTxDueToNotLastValueAccessed,NumOwnedRdItemsInLocalPrepare,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,TerminationCost,RemotelyDeadXact,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareCommandSize,LocalUpdateTxCommitResponseTime,LocalUpdateTxRemoteRollbackServiceTime,AvgPrepareRtt,AvgNumNodesCommit,NumberOfGets,UpdateXactToPrepare,AvgRollbackCommandSize,WriteSkewProbability,LocalContentionProbability,GMUClusteredGetCommandServiceTime,AvgReadOnlyTxDuration,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,NumWaitedRemoteCommits,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180000,0,1751,1970,0,5,64517.689682233504,29544.447282695604,24.396280998389695,13334.607859390862,0.7331995865925605,2.1425348591304347E8,1,100000,UNIFORM,0,0,198,0.0,11365,1216,4160,10,0,0,322,343,2541.0,0,0,10.0,0.5300590445517982,0,2298,8,0,0,6705,94,9,-737,27621,1059,9.63502538071066,0,10.0,0,7448,211,1.1490125673249552,123,230.0,16042,2227,6740,654,1,1.1620132483130068,8,10,62780.0,5708.0,49717,2840,0.0,0,395,342,0.0,0.5294275732330019,13201,1764,0.0,40108,27999.0,5,99,18930,10.0,0,0,0,0.6543147208121828,0,3,65133,0.0,9.609137055837563,1023,0,2456,5772,1483,592,10509,8,37210,1975.0,70,0.0,0.0,182.0,27993,0.39086294416243655,1,94,35921,77,9.674471730439748,0,0,21707
1,180021,0,1915,1957,0,4,63438.790404190084,28642.126947780678,18.949166150670795,13422.10400919775,0.6261882085913859,1.94836071E8,1,100000,UNIFORM,0,0,190,0.0,11309,1445,4481,10,0,0,322,343,2574.0,0,0,10.0,0.5059339525283798,0,2339,8,0,0,6390,84,8,-680,26936,1609,9.660705160960655,0,10.0,0,7385,215,1.145379927869668,109,170.0,5352,2151,6456,652,1,1.1658997637109811,8,10,61897.0,6259.0,48707,2772,0.0,3,490,319,0.0,0.5054235537190083,12726,2666,0.0,44820,27285.0,4,95,19000,10.0,0,0,0,0.6775677056719469,0,1,65918,0.0,9.70873786407767,1163,0,2391,5773,1675,724,10362,8,38720,1961.0,70,0.0,0.0,143.0,27276,0.2912621359223301,1,87,37394,81,9.654308093994779,0,0,35449
2,180000,0,1692,1762,0,4,71578.70444381384,31270.489791371157,20.177474840948527,14736.930124290579,0.7435530286860308,1.8453147547826087E8,1,100000,UNIFORM,0,0,224,0.0,12267,1598,5605,10,0,0,322,343,3079.0,0,0,10.0,0.5106998264893001,0,2819,8,0,0,7398,111,8,-722,29191,1076,9.6577752553916,0,10.0,0,7989,264,1.139449308463393,146,221.0,15708,2480,7398,649,1,1.1587996447151376,8,10,69572.0,7449.0,55143,3041,0.0,4,472,438,0.0,0.5101331789229878,9852,1468,0.0,35793,29641.0,4,115,17030,10.0,0,0,0,0.6685584562996595,0,2,79515,0.0,9.665153234960272,1233,0,2617,5772,1921,566,11173,8,34540,1766.0,70,0.0,0.0,178.0,29630,0.3348467650397276,1,111,33362,82,9.66016548463357,0,0,0
3,180017,0,1816,1906,0,2,65727.87533683106,29659.982324339206,19.679664607948443,13691.803470619097,0.673611001730473,1.8513527333333334E8,1,100000,UNIFORM,0,0,207,0.0,11545,1407,4934,10,0,0,322,343,2789.0,0,0,10.0,0.5123523093447906,0,2536,8,0,0,6596,116,8,-688,27764,1037,9.667890870933894,0,10.0,0,7337,236,1.1661454011616774,126,198.0,10260,2256,6596,652,1,1.1577200485096062,8,10,63993.0,6703.0,50539,2851,0.0,3,446,356,0.0,0.5120902740462118,10452,1502,0.0,44720,28156.0,2,107,18480,10.0,0,0,0,0.661594963273872,0,1,71574,0.0,9.695697796432318,1191,0,2451,5773,1679,655,10503,8,37220,1908.0,70,0.0,0.0,163.0,28148,0.304302203567681,1,116,35959,73,9.654185022026432,0,0,0
4,180002,0,1746,1753,0,5,70784.58825042784,31381.85995704467,27.142897545662102,14872.305430119794,0.7592411113359123,1.880147464347826E8,1,100000,UNIFORM,0,0,217,0.0,12471,1582,5503,10,0,0,322,343,3088.0,0,0,10.0,0.5017123287671232,0,2831,8,0,0,7218,110,9,-686,29417,1764,9.669138619509413,0,10.0,0,8140,261,1.1512767684335394,136,211.0,12613,2392,7218,648,1,1.1668851844914778,8,10,68923.0,7305.0,54349,3041,0.0,2,454,405,0.0,0.5010002857959417,13917,2051,0.0,43189,29826.0,5,111,17100,10.0,0,0,0,0.6508841985168283,0,1,70460,0.0,9.754706217912151,1210,0,2596,5772,1871,572,11331,8,34990,1758.0,70,0.0,0.0,170.0,29820,0.2452937820878494,1,111,33849,85,9.6786941580756,0,0,0
5,179990,0,1730,1926,0,3,66267.27589252336,29707.69749132948,16.910893960098388,14440.83349896158,0.7316533793921872,1.849125172173913E8,1,100000,UNIFORM,0,0,209,0.0,12050,1624,4905,10,0,0,322,343,2757.0,0,0,10.0,0.5271932221918557,0,2507,8,0,0,7057,112,7,-731,27841,1932,9.677570093457945,0,10.0,0,7739,232,1.1230940870211974,120,180.0,32728,2270,7057,648,1,1.1661708193876286,8,10,64554.0,6744.0,50372,2838,0.0,0,530,355,0.0,0.5268052516411379,11935,2247,0.0,48607,28244.0,3,103,18640,10.0,0,0,0,0.6220145379023884,0,1,69318,0.0,9.67808930425753,1175,0,2447,5772,1891,705,10989,8,36560,1929.0,70,0.0,0.0,151.0,28234,0.32191069574247144,1,111,35362,85,9.666473988439307,0,0,0
6,179979,0,1674,1829,0,2,69056.48607709131,31627.76853046595,20.916957774607706,14075.702407873156,0.7709097723807414,1.9930440347826087E8,1,100000,UNIFORM,0,0,228,0.0,11491,1758,5507,10,4699,0,322,343,3181.0,0,0,10.0,0.5223965763195435,1,2920,8,0,5599,7281,130,8,-738,29553,2655,9.655549480590487,0,10.0,609,8195,265,1.1724497103053186,144,211.0,14486,2433,7302,652,1,1.153766030857366,8,10,67278.0,7429.0,53486,2999,0.0,5,519,446,0.0,0.5221238938053098,10936,1604,0.0,35532,29965.0,2,117,17630,10.0,0,0,0,0.6347731000546747,0,3,81440,0.0,9.639147074904319,1262,0,2577,5772,2062,852,10443,8,35030,1831.0,70,0.0,0.0,175.0,29955,0.3608529250956807,1,125,33869,72,9.682795698924732,0,0,33318
7,179991,0,1710,1782,0,5,69910.04537878788,31793.46444035088,22.906666857306263,14811.231814253646,0.7266998536093282,1.9498350782608697E8,1,100000,UNIFORM,0,0,223,0.0,12012,1939,5429,10,0,0,322,343,3081.0,0,0,10.0,0.5110094366599943,0,2816,8,0,0,6810,106,8,-702,29746,2024,9.677890011223344,0,10.0,0,7669,259,1.1245210727969348,149,210.0,34870,2409,6939,644,1,1.1584291187739464,8,10,67877.0,7374.0,53350,3013,0.0,2,555,454,0.0,0.5103092783505154,15148,2296,0.0,37016,30144.0,5,120,17170,10.0,0,0,0,0.6290684624017957,0,1,82310,0.0,9.63524130190797,1250,0,2589,5773,2272,623,10896,8,34920,1787.0,70,0.0,0.0,172.0,30131,0.36475869809203143,1,109,33798,82,9.67953216374269,0,0,43088
8,180023,0,1732,1724,0,1,71594.39065835267,32226.0797482679,20.925749204512584,14739.725446055685,0.7962611919219446,1.80540177E8,1,100000,UNIFORM,0,0,244,0.0,12202,1724,5609,10,0,0,322,343,3173.0,0,0,10.0,0.4989875614694822,0,2899,8,0,0,6873,119,8,-683,29992,3782,9.675754060324826,0,10.0,0,7930,267,1.1796349663784822,157,214.0,743,2449,6873,650,1,1.161511367275056,8,10,69597.0,7463.0,55135,3088,0.0,1,478,470,0.0,0.4988425925925926,13626,5399,0.0,57100,30487.0,1,121,16750,10.0,0,0,0,0.6745939675174014,0,1,76955,0.0,9.715777262180975,1235,0,2640,5773,2011,876,11087,8,34560,1725.0,70,0.0,0.0,173.0,30477,0.2842227378190255,1,118,33397,84,9.651270207852194,0,0,0
9,180004,0,1827,1897,0,2,65829.67365366367,29746.318081554462,18.51862801932367,13970.71998313126,0.6025069834332697,1.9268720417391303E8,1,100000,UNIFORM,0,0,213,0.0,11569,1554,4969,10,0,0,322,343,2808.0,0,0,10.0,0.5096618357487923,0,2550,8,0,0,6819,105,9,-695,27915,2237,9.65155508697944,0,10.0,0,7559,236,1.1470295386657816,128,182.0,16734,2264,6826,647,1,1.1516760703617657,8,10,64121.0,6799.0,50451,2852,0.0,2,518,376,0.0,0.5093984962406015,12012,2683,0.0,38044,28299.0,2,110,18360,10.0,0,0,0,0.6794939377965208,0,3,71215,0.0,9.678439641539272,1177,0,2456,5773,1861,853,10591,8,37240,1899.0,70,0.0,0.0,156.0,28288,0.32156035846072745,1,105,35951,72,9.656267104542966,0,0,16702
