SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,AvgNumNodesPrepare,LocalReadOnlyTxLocalServiceTime,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,NumLocalRemoteLockContentions,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumRemoteLocalLockContentions,NumLocalLocalLockContentions,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,NumRemoteRemoteLockContentions,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,180001,0,254,2450,25,400,58636.91696816327,26582.765897637797,16.31575966762544,12631.795831020407,0.7220764568260267,7.040117947826087E7,1,1000,UNIFORM,0,198,1242,10598,10,0,261,2724.0,0,10.0,8,2428,9,10833,16903,90,257,24804,1451,0,217,11912,83.0,11249,8,7,1.1834221229306296,56956.0,10,426,1757,10884,0.9060650887573964,0.0,25281.0,23430,0,0,0,0.4412244897959184,78037,25.0,380.0,0,2185,9760,2850.0,0.0,76.0,0,0,0.43673469387755104,1,91,25955,9.468503937007874,0,0,0.0,4312,693,242,0,0.9188239054010866,0,7,8,9.612244897959183,268,10.0,1.1508277481812454,126,12766,20.0,2018,1,999,5921.0,2773,44579,0.0,199,330,0.0,12214,116,425,10.0,11,8,9.56326530612245,1049,454,1553,5692,8,27040,70,2.7947598253275107E-4,25274,104,0,1485
1,179995,0,257,2590,17,392,56629.82823861004,27616.196206225683,14.357122235872236,12106.123308494209,0.7450796419095865,8.079106956521739E7,1,1000,UNIFORM,0,180,1185,10187,10,0,261,2574.0,0,10.0,7,2313,9,10534,14151,81,236,25603,1300,0,202,11691,75.0,10783,3,7,1.2118059080296417,54953.0,10,416,1657,12163,0.9097295398665262,0.0,26154.0,24530,0,0,0,0.49305019305019304,79749,17.0,377.0,0,2119,9387,2982.0,0.0,65.0,0,0,0.528957528957529,1,81,27187,9.575875486381323,0,0,0.0,4031,647,242,0,0.9210687960687961,0,7,3,9.546718146718147,235,10.0,1.1907420566439955,107,12642,15.0,1960,1,1014,5617.0,2666,43105,0.0,234,285,0.0,12107,97,409,10.0,6,3,9.471042471042471,1041,457,1439,5692,7,28470,70,1.0028749080698002E-4,26147,109,0,1816
2,180005,0,236,2405,15,388,60300.1798972973,30872.516809322035,20.12732950065703,13215.641982536383,0.6913753146397869,9.337536139130434E7,1,1000,UNIFORM,0,187,1410,11001,10,0,261,2786.0,0,10.0,7,2522,11,10842,15606,82,278,28901,1359,0,219,11750,82.0,11197,3,7,1.2124793429816214,58527.0,10,451,1691,12713,0.9106399091253313,0.0,29351.0,22710,0,0,0,0.5434511434511434,78835,15.0,372.0,0,2251,10116,2793.0,0.0,71.0,0,0,0.5571725571725572,1,82,25097,9.55084745762712,0,0,0.0,4402,1112,242,0,0.9224704336399474,0,7,3,9.498128898128899,321,10.0,1.1928489158195204,125,31344,16.0,2098,1,1006,6053.0,2854,45578,0.0,231,337,0.0,12015,103,403,10.0,5,1,9.442827442827443,1066,465,1702,5692,7,26410,70,1.0718113612004287E-4,29344,121,0,3023
3,179997,0,205,2136,15,396,65214.353145599256,31643.44202926829,25.749859375,14041.975321161048,0.7747891823392945,8.135347860869566E7,1,1000,UNIFORM,0,187,1833,11232,10,0,261,2824.0,0,10.0,7,2574,22,12429,20092,98,343,29509,2281,0,238,12411,109.0,13184,6,7,1.257759551046838,63031.0,10,479,2793,7806,0.9124305852199914,0.0,30140.0,19940,0,0,0,0.6212546816479401,127318,15.0,367.0,0,2451,10193,2532.0,0.0,78.0,0,0,0.6647940074906367,1,84,22081,9.409756097560976,0,0,0.0,4652,1472,242,0,0.9255087209302325,0,7,6,9.434456928838951,340,10.0,1.2467083962875027,137,32528,29.0,2337,1,1009,6361.0,3158,49334,0.0,301,419,0.0,12091,102,411,10.0,7,2,9.335205992509364,1093,572,2178,5692,7,23410,70,2.3647184014503607E-4,30133,163,0,2495
4,180024,0,230,2502,29,398,58400.3284432454,27761.522860869565,17.821043051598608,12626.221340127899,0.67733538537892,9.574169233333333E7,1,1000,UNIFORM,0,171,1390,10488,10,0,261,2720.0,0,10.0,8,2462,13,11011,15603,80,231,25821,1140,0,205,12442,76.0,11453,3,7,1.2329556096647312,56712.0,10,438,1523,11978,0.9158125915080527,0.0,26265.0,23690,0,0,0,0.5179856115107914,80589,29.0,378.0,0,2176,9618,2900.0,0.0,65.0,0,0,0.5315747402078337,1,75,26017,9.517391304347827,0,0,0.0,4066,658,242,0,0.9271921494143717,0,7,3,9.523581135091927,228,10.0,1.2319722794530812,103,13782,20.0,2009,1,1009,5676.0,2745,44337,0.0,253,272,0.0,12878,92,427,10.0,7,5,9.468425259792166,1047,451,1671,5692,8,27320,70,1.0298307644777042E-4,26254,143,0,1757
5,179990,0,235,2361,18,421,60967.497573485816,27173.992680851065,24.030116639209226,13346.67137441762,0.7214880976989108,8.939497356521739E7,1,1000,UNIFORM,0,164,1512,10997,10,0,261,2395.0,0,10.0,7,2147,8,11347,13434,83,270,25095,1363,0,201,12091,75.0,11512,5,7,1.2894704906759435,59155.0,10,434,1723,11566,0.9094761171032357,0.0,25565.0,22080,0,0,0,0.6717492587886489,97185,18.0,406.0,0,2279,10043,2782.0,0.0,62.0,0,0,0.6480304955527318,1,74,24363,9.382978723404255,0,0,0.0,4057,661,242,0,0.9225700164744646,0,7,5,9.385006353240152,255,10.0,1.2936369887949517,96,13987,15.0,2149,1,1012,5661.0,2856,46067,0.0,307,274,0.0,12357,82,439,10.0,7,6,9.351969504447268,1041,456,1817,5692,7,25960,70,1.7919862375456958E-4,25560,241,0,1765
6,180033,0,246,2179,18,375,65987.57573703534,31864.297731707316,19.458632008516677,13881.498650298301,0.7646221272254671,9.434068866666667E7,1,1000,UNIFORM,0,172,1654,11329,10,0,261,2730.0,0,10.0,7,2473,13,11597,16886,86,312,29698,1806,0,225,12520,83.0,11998,3,7,1.2799362015377065,63838.0,10,454,2203,11449,0.8985567010309279,0.0,30201.0,20440,0,0,0,0.6548875631023405,90532,18.0,354.0,0,2454,10245,2554.0,0.0,68.0,0,0,0.6195502524093621,1,78,22818,9.41869918699187,0,0,0.0,4622,1226,242,0,0.9127040454222853,0,7,3,9.408444240477284,293,10.0,1.259610665794209,133,14086,21.0,2372,1,1013,6278.0,3082,50246,0.0,280,337,0.0,12734,96,393,10.0,8,4,9.380449747590639,1065,492,2015,5692,7,24250,70,1.1705946620883409E-4,30188,197,0,3687
7,180000,0,245,2582,24,411,56385.181903950426,28012.408804081635,18.246170754138564,12287.36091518203,0.6181930474710937,6.958910330434783E7,1,1000,UNIFORM,0,175,1158,10478,10,0,261,2504.0,0,10.0,7,2245,13,10346,14792,79,205,26195,1202,0,194,11490,70.0,10706,5,7,1.1931119974129567,54826.0,10,431,1521,12820,0.9133356915458083,0.0,26585.0,24740,0,0,0,0.4624322230828815,65781,24.0,391.0,0,2108,9693,2993.0,0.0,64.0,0,0,0.418280402788536,1,80,27069,9.526530612244898,0,0,0.0,3894,739,242,0,0.924892703862661,0,7,5,9.57978311386522,264,10.0,1.2137544464805432,109,9954,20.0,1934,1,1004,5453.0,2656,42765,0.0,234,263,0.0,11847,98,435,10.0,7,1,9.581719597211464,1007,467,1387,5692,7,28270,70,1.6640042598509052E-4,26579,82,0,2133
8,180010,0,253,2583,23,394,57150.22519202477,24994.726881422925,13.059238241623117,12422.002871854433,0.6172811013117832,7.55146076521739E7,1,1000,UNIFORM,0,168,1187,10528,10,0,261,2344.0,0,10.0,8,2095,9,10784,12890,80,194,23229,1110,0,198,12008,73.0,10912,2,7,1.1901198447082653,55632.0,10,407,1425,10530,0.9107898448519041,0.0,23641.0,24700,0,0,0,0.4754161827332559,89234,23.0,379.0,0,2120,9780,2977.0,0.0,65.0,0,0,0.43747580332946184,1,80,27124,9.478260869565217,0,0,0.0,4012,513,242,0,0.9222256378727328,0,7,2,9.572590011614402,200,10.0,1.2040735947785968,107,9631,15.0,1953,1,1006,5542.0,2662,43477,0.0,201,250,0.0,12543,98,417,10.0,6,4,9.562524196670537,1002,412,1431,5692,8,28360,70,6.698147962088483E-5,23635,106,0,1614
9,179999,0,253,2676,19,409,55012.60052914798,26806.743557312253,23.673200476616028,12504.404936472347,0.7278912508550904,9.137395791304348E7,1,1000,UNIFORM,0,149,1194,10695,10,0,261,2251.0,0,10.0,7,2027,14,10999,15342,67,199,24968,1206,0,182,11964,62.0,11330,3,7,1.2394522575869726,53551.0,10,411,1519,11871,0.9136223967224308,0.0,25367.0,25270,0,0,0,0.578101644245142,66290,19.0,389.0,0,2050,9970,3085.0,0.0,57.0,0,0,0.5568011958146487,1,64,27736,9.600790513833992,0,0,0.0,3638,765,242,0,0.92463509085493,0,7,3,9.457025411061286,273,10.0,1.2421354552183568,88,13128,20.0,1895,1,1015,5128.0,2555,41264,0.0,259,208,0.0,12282,80,428,10.0,6,3,9.443198804185352,965,424,1409,5692,7,29290,70,9.700575567483671E-5,25361,151,0,1926
