SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,AvgNumNodesPrepare,LocalReadOnlyTxLocalServiceTime,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,179984,0,12064,0,0,0,NaN,14892.896919429708,10.364043103448275,NaN,0.6457294226144582,2.047305464347826E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1812.0,0,0.0,0,1528,0,279,0,0,207,13287,0,0,148,279,83.0,279,0,0.0,0.0,10,0,0,0,0.0,0.0,13698.0,0,0,0,0,0.0,78276,Not_Available,0.0,0,1337,0,0.0,0.0,80.0,0.0,1,0,108722,9.012102122015914,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,Not_Available,0,1,211,0.0,1440,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,120640,0,0.0,13690,0,0,0
1,179992,0,12850,0,0,0,NaN,13983.392201089493,8.69547206225681,NaN,0.5876490738792545,1.865129526956522E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1835.0,0,0.0,0,1569,0,241,0,0,193,12607,0,0,153,241,64.0,241,0,0.0,0.0,10,0,0,0,0.0,0.0,12977.0,0,0,0,0,0.0,74074,Not_Available,0.0,0,1263,0,0.0,0.0,62.0,0.0,1,0,115652,9.000155642023346,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,Not_Available,0,1,211,0.0,1369,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,128500,0,0.0,12969,0,0,0
2,179988,0,11797,0,0,0,NaN,15228.739509875393,12.77241247774858,NaN,0.695569999280966,1.7841953391304347E8,1,100000,UNIFORM,0,0,0,0,0,0,188,2006.0,0,0.0,0,1683,0,303,0,0,219,13534,0,0,162,303,71.0,303,0,0.0,0.0,10,0,0,0,0.0,0.0,14001.0,0,0,0,0,0.0,92679,Not_Available,0.0,0,1350,0,0.0,0.0,70.0,0.0,1,0,106242,9.005848944646944,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,Not_Available,0,1,211,0.0,1462,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,117970,0,0.0,13992,0,0,0
3,179989,0,12974,0,0,0,NaN,13850.204488823802,11.028982503468475,NaN,0.7091400498547075,1.7596212382608697E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1791.0,0,0.0,0,1528,0,245,0,0,187,12480,0,0,149,245,64.0,245,0,0.0,0.0,10,0,0,0,0.0,0.0,12852.0,0,0,0,0,0.0,67884,Not_Available,0.0,0,1254,0,0.0,0.0,63.0,0.0,1,0,116798,9.002466471404347,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,Not_Available,0,1,211,0.0,1354,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,129740,0,0.0,12844,0,0,0
4,179987,0,12735,0,0,0,NaN,14111.421878131134,10.422652296819788,NaN,0.6212248987024453,1.891838156521739E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1807.0,0,0.0,0,1544,0,244,0,0,190,12743,0,0,151,244,64.0,244,0,0.0,0.0,10,0,0,0,0.0,0.0,13118.0,0,0,0,0,0.0,74450,Not_Available,0.0,0,1279,0,0.0,0.0,61.0,0.0,1,0,114652,9.002905378877111,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,Not_Available,0,1,211,0.0,1383,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,127350,0,0.0,13111,0,0,0
5,179999,0,12424,0,0,0,NaN,14463.561618802318,10.649461043142304,NaN,0.6416737734571474,1.8603909113043478E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1879.0,0,0.0,0,1592,0,267,0,0,198,12996,0,0,155,267,63.0,267,0,0.0,0.0,10,0,0,0,0.0,0.0,13401.0,0,0,0,0,0.0,78407,Not_Available,0.0,0,1304,0,0.0,0.0,62.0,0.0,1,0,111869,9.00426593689633,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,Not_Available,0,1,211,0.0,1409,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,124240,0,0.0,13393,0,0,0
6,179986,0,12652,0,0,0,NaN,14201.547847375909,9.44185006323111,NaN,0.6826551359530334,1.8123841739130434E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1800.0,0,0.0,0,1537,0,243,0,0,188,12847,0,0,151,243,63.0,243,0,0.0,0.0,10,0,0,0,0.0,0.0,13221.0,0,0,0,0,0.0,71878,Not_Available,0.0,0,1296,0,0.0,0.0,62.0,0.0,1,0,113536,8.97375908947202,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,Not_Available,0,1,211,0.0,1399,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,126520,0,0.0,13212,0,0,0
7,179995,0,12653,0,0,0,NaN,14200.485097763376,10.227772385995417,NaN,0.6495440147349597,1.9404175339130434E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1874.0,0,0.0,0,1591,0,259,0,0,199,12773,0,0,155,259,64.0,259,0,0.0,0.0,10,0,0,0,0.0,0.0,13166.0,0,0,0,0,0.0,76943,Not_Available,0.0,0,1278,0,0.0,0.0,63.0,0.0,1,0,113773,8.991780605390026,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,Not_Available,0,1,211,0.0,1387,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,126530,0,0.0,13159,0,0,0
8,179991,0,12524,0,0,0,NaN,14346.529548147557,9.861177738741617,NaN,0.6540330755326809,1.757168956521739E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1845.0,0,0.0,0,1557,0,269,0,0,195,12898,0,0,152,269,63.0,269,0,0.0,0.0,10,0,0,0,0.0,0.0,13303.0,0,0,0,0,0.0,72977,Not_Available,0.0,0,1298,0,0.0,0.0,61.0,0.0,1,0,112541,8.986026828489301,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,Not_Available,0,1,211,0.0,1403,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,125240,0,0.0,13295,0,0,0
9,179991,0,12674,0,0,0,NaN,14180.037615354267,9.421781521224554,NaN,0.5760246231751001,1.7887857947826087E8,1,100000,UNIFORM,0,0,0,0,0,0,188,1780.0,0,0.0,0,1519,0,241,0,0,186,12841,0,0,149,241,62.0,241,0,0.0,0.0,10,0,0,0,0.0,0.0,13207.0,0,0,0,0,0.0,67816,Not_Available,0.0,0,1296,0,0.0,0.0,61.0,0.0,1,0,113986,8.99368786492031,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,Not_Available,0,1,211,0.0,1397,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,126740,0,0.0,13200,0,0,0
