SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalRemoteLockContentions,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,LocalReadOnlyTxLocalServiceTime,AvgNumNodesPrepare,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalLocalLockContentions,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,RemoteRemoteLockContentions,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,RemoteLocalLockContentions,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
22,179989,0,690,732,20,463,110097.45567349727,60940.623814492756,19.30965039370079,26879.915826502733,0.7826582816610066,9.216442191304348E7,1,1000,UNIFORM,0,232,3233,22282,10,0,749,4846.0,Not_Available,0,5.0,4572,9,2,13125,27752,166,-672,57825,2629,0,414,21005,199.0,16160,9,1.087907941897755,106782.0,10,Not_Available,630,3252,15143,0.5147679324894515,0.0,58342.0,3550,0,0,0,0.4426229508196721,100505,20.0,456.0,0,5146,20306,1195.0,0.0,130.0,0.15027322404371585,1,102,13894,9.768115942028986,0,Not_Available,0,0.0,6609,1522,722,0,0.6377952755905512,0,8,9.773224043715848,276,10.0,0.5159403886059234,211,0,7.0,5068,Not_Available,1,2131,9006.0,5794,80346,0.0,476,950,0.0,21275,142,483,5.0,5,0,4.8497267759562845,1625,636,3707,3477,9,14220,70,8.283631544068919E-4,58326,136,0,6896
23,180014,0,818,853,11,436,101235.34082532239,53242.294287286066,29.385152030217185,26089.5644982415,0.7481587946336523,8.347501808695652E7,1,1000,UNIFORM,0,245,2881,21998,10,0,749,4599.0,Not_Available,0,5.0,4319,9,3,13178,28191,145,-532,50546,2499,0,403,21355,188.0,15525,9,1.0809974014485542,98662.0,10,Not_Available,620,3031,17396,0.5104727707959306,0.0,51081.0,4175,0,0,0,0.3528722157092614,87264,11.0,425.0,0,4613,20058,1289.0,0.0,135.0,0.10550996483001172,1,103,16407,9.837408312958436,0,Not_Available,0,0.0,6606,765,722,0,0.6137865911237016,0,8,9.800703399765533,221,10.0,0.502847348924642,203,0,11.0,4409,Not_Available,1,2170,9016.0,5234,72878,0.0,388,829,0.0,21681,153,447,5.0,8,0,4.894490035169988,1654,634,3362,3477,9,16710,70,4.630344188918043E-4,51074,101,0,1870
24,180023,0,786,850,16,469,100448.86955764706,54582.74097964377,24.947324846770393,25406.635842352942,0.6971380400535021,8.138352347826087E7,1,1000,UNIFORM,0,233,2466,21963,10,0,749,4577.0,Not_Available,0,5.0,4300,9,3,12638,26592,127,-656,52050,2039,0,395,20755,181.0,15327,9,1.0760168926428095,98314.0,10,Not_Available,621,2425,14421,0.519559902200489,0.0,52640.0,4130,0,0,0,0.3588235294117647,66955,16.0,465.0,0,4664,20040,1319.0,0.0,130.0,0.1411764705882353,1,99,16055,9.82442748091603,0,Not_Available,0,0.0,6468,1458,722,0,0.6294200848656294,0,8,9.803529411764705,265,10.0,0.5134474327628362,197,5703,4.0,4454,Not_Available,1,2150,8833.0,5251,73202,0.0,399,663,0.0,21089,144,485,5.0,1,2,4.858823529411764,1610,583,2894,3477,9,16360,70,1.5064778547755348E-4,52628,107,0,3459
25,180039,0,801,851,20,448,99437.18918683901,56930.76416604245,20.852378773584906,25155.16067920094,0.6935740322583893,7.677602E7,1,1000,UNIFORM,0,242,2379,21749,10,0,749,5123.0,Not_Available,0,5.0,4826,9,5,13875,27850,120,-670,54536,1933,0,409,21023,164.0,16335,9,1.0703179391970294,97390.0,10,Not_Available,623,2408,18648,0.5151331719128329,0.0,55079.0,4205,0,0,0,0.3572267920094007,86725,20.0,440.0,0,4712,19934,1299.0,0.0,128.0,0.05875440658049354,1,103,16214,9.822721598002497,0,Not_Available,0,0.0,6530,475,722,0,0.6221698113207547,0,8,9.807285546415981,236,10.0,0.5035971223021583,202,0,8.0,4482,Not_Available,1,2159,8900.0,5301,72536,0.0,390,618,0.0,21316,148,468,5.0,3,0,4.941245593419507,1607,585,2816,3477,9,16520,70,4.575960951799878E-4,55062,81,0,2360
26,179988,0,867,868,15,471,97853.08195391706,51894.26743713956,14.870484016208914,25439.42387672811,0.7157130540020775,6.884110330434783E7,1,1000,UNIFORM,0,258,2101,22159,10,0,749,4717.0,Not_Available,0,5.0,4429,9,3,13152,25508,137,-613,49672,1684,0,405,20438,166.0,15211,9,1.0647606382978723,95660.0,10,Not_Available,614,2127,13369,0.5002881844380404,0.0,50172.0,4215,0,0,0,0.32373271889400923,65022,15.0,467.0,0,4455,20200,1339.0,0.0,132.0,0.14400921658986174,1,107,17066,9.855824682814303,0,Not_Available,0,0.0,6604,663,722,0,0.6096352994146781,0,8,9.816820276497696,240,10.0,0.5026261551758526,189,18441,4.0,4355,Not_Available,1,2143,8954.0,4993,70553,0.0,331,636,0.0,20776,151,486,5.0,1,1,4.855990783410138,1596,586,2649,3477,9,17350,70,0.0,50161,69,0,2096
27,180040,0,813,837,19,521,96909.77522461172,51707.65361377614,16.853077625570776,25180.804454002388,0.7044418393699943,7.948158766666667E7,1,1000,UNIFORM,0,246,2519,21676,10,0,749,4577.0,Not_Available,0,5.0,4305,9,4,14814,26168,131,-707,49559,2203,0,395,21619,164.0,17396,9,1.0625155511321225,95021.0,10,Not_Available,726,2645,20433,0.5072727272727273,0.0,50053.0,4110,0,0,0,0.25806451612903225,56589,19.0,513.0,0,4489,20110,1358.0,0.0,130.0,0.08960573476702509,1,106,16283,9.90159901599016,0,Not_Available,0,0.0,6442,695,722,0,0.6287671232876713,0,8,9.8363201911589,322,10.0,0.4845732769345608,187,31224,8.0,4406,Not_Available,1,2239,8893.0,5001,70141,0.0,349,603,0.0,21836,149,540,5.0,4,1,4.910394265232975,1590,722,2944,3477,9,16500,70,4.385964912280702E-4,50041,79,0,3318
28,179992,0,803,861,13,487,99313.26792566782,52129.23285180573,18.917900184842885,25563.68254355401,0.8176962120260756,8.725429252173913E7,1,1000,UNIFORM,0,236,2415,22108,10,0,749,4474.0,Not_Available,0,5.0,4185,9,2,10088,27943,120,-631,49471,1780,0,388,20936,158.0,13075,9,1.0765222161272627,96881.0,10,Not_Available,595,2205,18082,0.5174278846153846,0.0,49989.0,4220,0,0,0,0.437862950058072,71474,13.0,480.0,0,4547,20382,1348.0,0.0,126.0,0.09872241579558652,1,101,16262,9.726027397260275,0,Not_Available,0,0.0,6356,246,722,0,0.6289279112754159,0,8,9.816492450638792,196,10.0,0.4953373560065826,193,15294,7.0,4382,Not_Available,1,2069,8697.0,5112,71659,0.0,379,657,0.0,21490,143,500,5.0,5,1,4.901277584204413,1612,571,2848,3477,9,16640,70,1.4757969303423848E-4,49980,87,0,960
29,180064,0,779,844,12,461,101511.07657582939,54227.793075738125,23.349149809160306,25230.52636018957,0.8146407567951373,9.5467632E7,1,1000,UNIFORM,0,226,2412,21724,10,0,749,4576.0,Not_Available,0,5.0,4312,9,8,14223,24073,135,-716,51718,2136,0,396,21056,171.0,16109,9,1.0892635399751647,99301.0,10,Not_Available,599,2600,16912,0.5200246457178065,0.0,52197.0,4105,0,0,0,0.3886255924170616,74640,12.0,446.0,0,4751,19716,1305.0,0.0,124.0,0.1362559241706161,1,95,15901,9.825417201540436,0,Not_Available,0,0.0,6377,1058,722,0,0.6283396946564885,0,8,9.77132701421801,352,10.0,0.5131817747635877,178,18238,15.0,4768,Not_Available,1,2203,8653.0,5290,74353,0.0,520,744,0.0,21342,138,473,5.0,7,1,4.863744075829384,1536,585,2889,3477,9,16230,70,7.631257631257631E-4,52188,150,0,2533
30,179990,0,833,971,16,525,90502.47507826982,47428.18383913566,28.306243496801706,24000.120814624097,0.6321646131400233,5.946652730434783E7,1,1000,UNIFORM,0,271,2065,21115,10,0,749,4607.0,Not_Available,0,5.0,4307,9,3,10709,26687,131,-660,45352,1725,0,388,20825,153.0,13142,9,1.0491031572112652,88720.0,10,Not_Available,606,2125,26552,0.5382483370288248,0.0,45749.0,4780,0,0,0,0.24613800205973224,57989,16.0,515.0,0,4145,19499,1496.0,0.0,134.0,0.07723995880535531,1,116,17799,9.843937575030012,0,Not_Available,0,0.0,6301,680,722,0,0.6447761194029851,0,8,9.885684860968075,284,10.0,0.4926548169791413,197,0,10.0,4007,Not_Available,1,2068,8665.0,4634,64964,0.0,270,561,0.0,21354,160,541,5.0,7,0,4.922760041194644,1618,593,2373,3477,9,18040,70,2.655689815429558E-4,45741,35,0,4862
31,180019,0,840,888,17,473,98427.46899662162,51615.55700952381,28.090599188458068,24845.638493243245,0.7161697980438565,8.108666466666667E7,1,1000,UNIFORM,0,227,2233,21538,10,0,749,4452.0,Not_Available,0,5.0,4192,9,6,15258,25661,124,-643,49329,1975,0,379,21718,151.0,17425,9,1.082847998321003,96100.0,10,Not_Available,601,2470,20081,0.5138888888888888,0.0,49787.0,4390,0,0,0,0.268018018018018,62920,17.0,461.0,0,4457,19701,1361.0,0.0,123.0,0.05630630630630631,1,98,17042,9.907142857142857,0,Not_Available,0,0.0,6287,928,722,0,0.6212804328223624,0,8,9.81981981981982,264,10.0,0.49661577207618446,175,5612,12.0,4337,Not_Available,1,2283,8645.0,4984,71695,0.0,425,580,0.0,21921,140,490,5.0,6,1,4.943693693693693,1619,583,2629,3477,9,17280,70,2.914602156805596E-4,49780,94,0,1765
