SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,AvgNumNodesPrepare,LocalReadOnlyTxLocalServiceTime,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime
0,179992,0,7780,0,0,0,NaN,22451.995128534705,23.522387532133674,NaN,0.7003857713111279,2.050528452173913E8,1,100000,UNIFORM,0,240,0,0,0,0,268,2265.0,0,0.0,0,1976,0,322,0,310,276,19567,0,0,184,360,145.0,322,0,1.250818905007019,0.0,10,0,0,4941,0.0,0.0,20014.0,0,0,0,0,0.0,71175,0.0,0.0,0,1866,0,0.0,0.0,133.0,0.0,1,320,73967,9.5073264781491,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,1.316487287474653,142,0,0.0,0,1,382,0.0,2018,0,0.0,0,378,0.0,49110,128,0,0.0,0,0,0.0,0,0,0,0,0,77800,0,0.0,20006,10,0,0
1,179989,0,8764,0,0,0,NaN,20505.49566202647,13.2200908261068,NaN,0.5897711458056105,1.699971624347826E8,1,100000,UNIFORM,0,229,0,0,0,0,268,2233.0,0,0.0,0,1944,0,330,0,305,243,18817,0,0,181,342,106.0,330,0,1.23533173461231,0.0,10,0,0,6991,0.0,0.0,19254.0,0,0,0,0,0.0,72932,0.0,0.0,0,1808,0,0.0,0.0,101.0,0.0,1,222,83328,9.507987220447284,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,1.1990407673860912,128,0,0.0,0,1,381,0.0,1942,0,0.0,0,328,0.0,50273,117,0,0.0,0,0,0.0,0,0,0,0,0,87640,0,0.0,19244,13,0,0
2,180007,0,0,3700,0,0,48424.47694945946,NaN,19.186215405405406,10635.881420540542,0.6927018107222433,1.8450357252173913E8,1,100000,UNIFORM,0,275,1259,8579,10,0,261,0.0,0,10.0,8,0,0,9551,0,0,-1130,0,0,0,213,9551,121.0,9551,7,1.234355573974306,46698.0,0,463,0,12685,1.0,0.0,0.0,35340,0,0,0,0.4921621621621622,106155,0.0,0.0,0,1706,7695,3700.0,0.0,113.0,0.4486486486486487,1,0,35179,0.0,0,0,0.0,4249,0,242,0,1.0,0,0,9.507837837837839,0,10.0,1.191462909241608,164,5063,0.0,1658,1,377,5973.0,2078,36333,0.0,0,436,0.0,0,147,0,10.0,0,2,9.551351351351352,1110,0,1545,5692,8,37000,0,0.0,0,8,0,0
3,179994,0,8597,0,0,0,NaN,20901.144242759103,12.488648830987554,NaN,0.6385644951163516,1.809718553043478E8,1,100000,UNIFORM,0,220,0,0,0,0,268,2300.0,0,0.0,0,2015,0,314,0,0,257,19205,0,0,188,314,109.0,314,0,1.2606441476826393,0.0,10,0,0,9962,0.0,0.0,19637.0,0,0,0,0,0.0,71683,0.0,0.0,0,1839,0,0.0,0.0,102.0,0.0,1,0,81545,9.485285564731884,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,1.2317360565593087,128,0,0.0,0,1,380,0.0,1985,0,0.0,0,334,0.0,0,122,0,0.0,0,0,0.0,0,0,0,0,0,85970,0,0.0,19627,12,0,0
4,179985,0,8746,0,0,0,NaN,20544.371064943974,11.277408529613538,NaN,0.725131149577206,1.7849928417391303E8,1,100000,UNIFORM,0,234,0,0,0,0,268,2273.0,0,0.0,0,1991,0,324,0,265,248,18900,0,0,186,335,100.0,324,0,1.2500385862015744,0.0,10,0,0,2848,0.0,0.0,19331.0,0,0,0,0,0.0,76323,0.0,0.0,0,1813,0,0.0,0.0,95.0,0.0,1,271,83007,9.490852961353761,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,1.2748881000154344,123,0,0.0,0,1,381,0.0,1954,0,0.0,0,326,0.0,50302,117,0,0.0,0,0,0.0,0,0,0,0,0,87460,0,0.0,19321,7,0,0
5,179984,0,8655,0,0,0,NaN,20761.140773310224,11.61543500866551,NaN,0.5736994980205689,1.865663276521739E8,1,100000,UNIFORM,0,228,0,0,0,0,268,2297.0,0,0.0,0,2009,0,305,0,265,254,19045,0,0,187,317,103.0,305,0,1.248431618569636,0.0,10,0,0,6468,0.0,0.0,19468.0,0,0,0,0,0.0,79661,0.0,0.0,0,1825,0,0.0,0.0,97.0,0.0,1,271,82169,9.493818601964183,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,1.3017565872020076,125,0,0.0,0,1,380,0.0,1966,0,0.0,1,336,0.0,51679,112,0,0.0,0,0,0.0,0,0,0,0,0,86550,0,0.0,19460,6,0,0
6,180000,0,8786,0,0,0,NaN,20454.2252558616,13.701560437058957,NaN,0.627879071581391,1.8164904139130434E8,1,100000,UNIFORM,0,209,0,0,0,0,268,2216.0,0,0.0,0,1949,0,289,0,296,243,18871,0,0,182,301,100.0,289,0,1.2527052832590706,0.0,10,0,0,2495,0.0,0.0,19265.0,0,0,0,0,0.0,72770,0.0,0.0,0,1810,0,0.0,0.0,95.0,0.0,1,303,83499,9.503642157978602,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,1.223742838956079,124,0,0.0,0,1,381,0.0,1948,0,0.0,0,289,0.0,51347,117,0,0.0,0,0,0.0,0,0,0,0,0,87860,0,0.0,19255,1,0,0
7,179988,0,8838,0,0,0,NaN,20333.24926895225,13.048713736139398,NaN,0.6293166564916907,1.811723572173913E8,1,100000,UNIFORM,0,220,0,0,0,0,268,2221.0,0,0.0,0,1939,0,309,0,304,246,18668,0,0,180,331,100.0,309,0,1.2450765864332605,0.0,10,0,0,7900,0.0,0.0,19088.0,0,0,0,0,0.0,72839,0.0,0.0,0,1790,0,0.0,0.0,96.0,0.0,1,294,84041,9.509051821679114,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,1.2879024695217256,124,0,0.0,0,1,381,0.0,1925,0,0.0,0,320,0.0,46942,117,0,0.0,0,0,0.0,0,0,0,0,0,88380,0,0.0,19079,10,0,0
8,179992,0,8785,0,0,0,NaN,20455.780533750712,13.097388389299944,NaN,0.6580455912593349,1.7601603791304347E8,1,100000,UNIFORM,0,212,0,0,0,0,268,2229.0,0,0.0,0,1957,0,286,0,234,244,18840,0,0,182,331,102.0,286,0,1.2432346890330748,0.0,10,0,0,19465,0.0,0.0,19245.0,0,0,0,0,0.0,80907,0.0,0.0,0,1806,0,0.0,0.0,97.0,0.0,1,231,83514,9.50643141718839,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,1.2660231049216648,117,0,0.0,0,1,381,0.0,1943,0,0.0,1,288,0.0,48167,111,0,0.0,0,0,0.0,0,0,0,0,0,87850,0,0.0,19234,12,0,0
9,180015,0,0,4237,0,2,42249.36868798678,NaN,16.627821184241565,9238.410446778382,0.6362040674372226,2.0323743652173913E8,1,100000,UNIFORM,0,215,839,7806,10,0,261,0.0,0,10.0,8,0,0,8339,0,137,-1036,0,555,0,173,8358,90.0,8339,7,1.237563006793776,40800.0,0,370,1246,3453,1.0,0.0,0.0,40130,0,0,0,0.5121548265282039,92148,0.0,2.0,0,1533,7106,4239.0,0.0,86.0,0.5286759499645975,1,143,40199,0.0,0,0,0.0,3420,0,242,0,1.0,0,6,9.487609157422705,0,10.0,1.2754766600920446,133,0,0.0,1454,1,378,4817.0,1842,31753,0.0,0,288,0.0,50975,109,2,10.0,0,0,9.471324050035403,912,549,1049,5692,8,42370,70,0.0,0,7,0,0
