ReplicationDegree;Numkeys;NumWrites;NumThread;NumNodes;WriteXactPercentage;NumReadsPerROXact;NumReadsPerWrXact;NumPutsPerWrXact;Warehouses;Parallelism;CPU;Memory;Throughput;WriteThroughput;ReadThroughput;EarlyAborts;LocalPrepareAborts;RemotePrepareAborts;WriteCommitProbability;TotalCommitProbability;Locality;NodesInCommit;RemoteNodesInCommit;RemoteReadsInROXact;RemoteReadsInWrXact;LockHoldTime;LocalLockHoldTime;LocalSuccessfulLockHoldTime;LocalLocalAbortLockHoldTime;LocalRemoteAbortLockHoldTime;RemoteLockHoldTime;PrepareRtt;CommitAsyncNet;RollbackAsyncNet;RemoteGetRtt;NumReadsAfterFirstWrite;PrepareMessageSize;CommitMessageSize;RollbackMessageSize;RemoteGetMessageSize;RemoteGetReplyMessageSize;LocalCommitWaitTime;NumLocalCommitsWait;RemoteCommitWaitTime;NumRemoteCommitsWait;RemoteGetWaitTime;NumRemoteGetsWait;TotalResponseTimeWrXact;TotalResponseTimeROXact;LocalResponseTimeWrXact;LocalResponseTimeROXact;LocalServiceTimeWrXact;TotalServiceTimeWrXact;LocalServiceTimeROXact;RG_WrR;RG_ROR;RG_COMMIT;BusinessLogicWrXactS;BusinessLogicROXactS;BusinessLogicWrXactR;BusinessLogicROXactR;RemoteRemoteGetServiceTime;RemoteRemoteGetResponseTime;LocalRemoteGetServiceTime;LocalRemoteGetResponseTime;CommitCommandServiceTime;CommitCommandResponseTime;PrepareCommandServiceTime;PrepareCommandResponseTime;EarlyAbortProb;PrepareLocalAbortProb;PrepareRemoteAbortProb;;;Throughput;RdThroughput;WrThroughput;RdResponseTime;WrResponseTime;WrLocalR;WrPrepareR;WrCommitR;RemoteGetR;avgR;CpuU;EarlyAbortP;LocalAbortP;RemoteAbortP;;LC_Cpu;LEA_Cpu;LLA_Cpu;LRA_Cpu;RC_Cpu;RA_Cpu;RO_Cpu;
1;100.000;10;1;60;0,52261328;100;100;10;0;60;0,69826166;154.707.872,2662609;146,05726974;75,18527085;70,87199889;-1;-1;395;0,97131383;0,9850249;0,01665805;48,1;47,36666667;98,33524441;98,33156739;39.509,76666667;31.100,08333333;30.594,91666667;294,75;66.808,78333333;49.198,11666667;41.824,95;10.283,13333333;8.879,06666667;3.401,35;100;6.508;562;70;587,76666667;1.044;1.349,11666667;0,05;16.260,8;3,18333333;0;0;431.383,45;371.399,51666667;371.888,91666667;370.002,98333333;37.806,96666667;45.647,96666667;37.224,08333333;433.755,07191243;373.493,38763943;59.811,3982938;3.150,00574088;2.565,82644079;5.949,62749289;4.050,01017976;164,38333333;191,06666667;352,45;3.721,48333333;2.162,71666667;10.871,41666667;5.451,13333333;48.153,6;-0,00007175;-0,00007175;0,02833776;;;32,36420926;15,45024365;16,91396561;370.002,98333333;3.209.381,23023177;371.898,69462514;48.153,6;10.871,41666667;3.721,48333333;1.853.899,76702393;-1;0,41573776;0,02405558;0,78408324;;0,05720091;-0,00000175;-0,00000351;0,00146079;0,02882859;0,03869323;0,04396909;
1;100.000;10;1;10;0,91082955;100;100;10;0;10;0,6553793;198.633.558,09553623;54,88839341;49,95710109;4,93129233;-1;-1;68;0,99205999;0,99276818;0,10026507;9,7;8,8;89,98819136;89,97147821;12.480,1;11.490,5;11.352;951,8;29.901,7;28.662,1;9.259,3;1.394,6;1.565,8;1.688,4;100;6.108;162;70;184;234,1;170,6;0,2;2.410,1;7,8;0;0;179.596,6;167.658,9;166.682,5;166.129,4;16.978,5;19.400,2;17.211,2;181.562,46570548;169.342,9232117;13.159,54882285;1.854,29451315;2.084,18503183;3.384,26705154;2.800,83267558;92,9;100,5;168,1;1.815;552,4;1.753,2;1.657;10.790,5;-0,00011035;-0,00011034;0,00750221;;;8,2820075;0,73851036;7,54349715;166.129,4;1.309.380,98375751;166.686,15596291;10.790,5;1.753,2;1.815;1.207.436,72289603;-1;0,5640911;0,10719487;0,65869478;;0,09691778;-0,00000471;-0,00000954;0,00066642;0,01966431;0,0412908;0,00848735;
1;100.000;10;1;20;0,91522257;100;100;10;0;20;0,65105608;185.406.908,80118838;76,32216561;69,73663717;6,58552844;-1;-1;234;0,98086535;0,98248749;0,05017388;19;18;94,98273317;94,982869;22.837,9;21.014,55;20.842,6;1.176,9;31.780,95;28.607,2;17.198,45;3.143,85;2.968,75;2.250,35;100;6.188;242;70;264;407,55;1.062,05;0,15;8.271,55;10,25;0;0;257.115,3;231.632;233.774,2;230.329,85;21.681,05;24.979,85;20.890,55;259.226,86797662;233.506,49000199;23.617,35278185;2.204,81271074;1.414,34056432;4.157,86332636;713,84170793;116,9;135,1;205,05;2.417,45;811,4;3.567,7;2.263,25;19.360,15;-0,00007818;-0,00007817;0,01829125;;;5,44242911;0,46139517;4,98103394;230.329,85;3.993.895,07187033;233.773,57836455;19.360,15;3.567,7;2.417,45;3.674.829,67296491;-1;0,63946406;0,07784479;0,80302826;;0,08710054;-0,00000301;-0,00000609;0,00146494;0,02690272;0,04025343;0,00687877;
1;100.000;10;1;30;0,90856646;100;100;10;0;30;0,69599032;178.820.356,32776812;92,75061353;84,07501754;8,67559599;-1;-1;364;0,97577788;0,97799368;0,03329144;28,33333333;27,66666667;96,67694756;96,67036583;33.052,6;32.136,23333333;31.908,26666667;1.843,06666667;43.738,93333333;34.553,03333333;26.410,1;5.489,76666667;4.822,53333333;2.663,56666667;100;6.268;322;70;344;579,96666667;2.285,7;0,26666667;9.790,56666667;8,73333333;0;0;317.013,06666667;283.435,03333333;281.363,56666667;282.133,56666667;25.365,8;29.782,86666667;25.434,46666667;319.156,82445729;285.427,15285851;35.932,71493957;2.355,03058796;2.422,13058152;4.180,62673472;4.931,75491648;132,26666667;156,36666667;238,03333333;2.867,3;1.244,23333333;5.959,26666667;2.953,56666667;29.260,86666667;-0,00006448;-0,00006447;0,02346722;;;4,74449772;0,43380621;4,31069151;282.133,56666667;6.931.047,75254474;281.364,97149834;29.260,86666667;5.959,26666667;2.867,3;6.323.114,0141327;-1;0,64778859;0,06276956;0,86516658;;0,0834665;-0,00000235;-0,00000475;0,00179218;0,03116726;0,03821363;0,00735531;
1;100.000;10;1;40;0,91300859;100;100;10;0;40;0,70782796;167.572.510,8582899;104,45445739;95,0827595;9,37169789;-1;-1;606;0,96479072;0,96784814;0,02491017;35;34;97,49259856;97,47951049;40.809,75;42.122,025;41.799,425;3.111,225;52.812,225;39.771,35;34.037,375;7.546,45;6.704,675;3.054,8;100;6.348;402;70;424;752,125;2.363,9;0,2;16.011,3;10,725;0;0;372.952,7;325.114,7;326.486,575;323.647,45;29.657,225;35.201,025;29.119,125;375.262,02368967;327.094,64290657;46.779,48593268;2.701,70336192;2.159,98418375;4.750,57665426;1.868,25382941;148,925;179,95;276,525;3.300,55;1.575,35;8.069,225;3.750,225;37.917,35;-0,0000564;-0,0000564;0,0341755;;;3,73298526;0,32473764;3,40824762;323.647,45;11.705.399,34871662;326.583,84941391;37.917,35;8.069,225;3.300,55;10.715.284,73423499;-1;0,65128739;0,0549668;0,90645709;;0,08367526;-0,00000206;-0,0000042;0,00262766;0,0327236;0,03697293;0,00682239;
1;100.000;10;1;50;0,91526074;100;100;10;0;50;0,69220289;160.968.053,5207768;110,46248039;100,74338069;9,7190997;-1;-1;752;0,9589982;0,96247038;0,01950756;41,86;41;97,98688048;98,01248456;48.634,84;52.867,74;52.621,66;3.780,2;60.235,92;46.353,7;43.480,44;8.858,8;7.673,48;3.540,56;100;6.428;482;70;504;922,1;77,7;0,02;16.769,7;9,06;0;0;439.080,92;386.699,12;380.632,82;385.335,74;34.140,84;40.592,32;34.105,02;441.560,28106326;388.785,82103976;58.780,46736587;2.996,39290635;2.968,70885971;4.770,62371156;9.571,73127252;164,96;205,6;317,76;3.834,84;1.763,96;9.431,96;4.467,82;48.521,64;-0,00005291;-0,00005291;0,03978415;;;2,3900946;0,20253485;2,18755976;385.335,74;22.820.842,24998307;380.773,78563911;48.521,64;9.431,96;3.834,84;20.919.674,04399512;-1;0,66058986;0,0514876;0,939038;;0,08178815;-0,0000019;-0,00000386;0,00299179;0,03480358;0,0350182;0,0066294;
1;100.000;10;1;60;0,91357423;100;100;10;0;60;0,72289568;157.922.518,90449277;118,85685194;108,11222804;10,7446239;-1;-1;958;0,95210166;0,95624219;0,01665484;48,06666667;47,4;98,36277941;98,3316074;52.737,78333333;59.172,18333333;58.846,98333333;2.776,06666667;67.715,41666667;50.198,93333333;47.306,71666667;10.620,4;9.051,26666667;3.878,15;100;6.508;562;70;583,98333333;1.093,41666667;644,53333333;0,05;19.295,71666667;7,18333333;0;0;486.420,26666667;418.213,06666667;420.999,43333333;416.746,28333333;38.761,63333333;46.250,26666667;38.625,5;489.003,97771882;420.676,05382211;65.753,37434754;3.277,03394463;3.129,65167083;6.066,27188725;1.681,58430445;178,56666667;217,8;360,86666667;4.219,73333333;1.965,1;11.214,2;5.300,55;53.706,58333333;-0,00004893;-0,00004893;0,04687347;;;1,9917587;0,17213928;1,81961943;416.746,28333333;32.934.503,09256251;421.011,70792261;53.706,58333333;11.214,2;4.219,73333333;30.124.130,95141727;-1;0,65362938;0,04717012;0,95470649;;0,08333699;-0,00000179;-0,00000364;0,0036045;0,03662034;0,03420425;0,00691694;
1;100.000;10;1;10;0,10938213;10;10;10;0;10;0,66328007;195.030.467,82028985;536,53219799;58,66350536;477,86869263;-1;-1;2;0,99981064;0,99997929;0,10024125;6;5;8,99696013;9,00330153;1.109,3;1.090,6;1.085,3;0;16.994,9;96.528,1;5.809,2;970,2;556,9;1.626,3;10;5.658,4;162;14;187;213,9;2.236,1;0,2;6.726,9;9,1;0;0;25.030,9;16.496,7;16.977,7;16.094,8;2.203,4;3.850,3;1.742,7;26.394,92590872;17.643,99854918;8.233,0253429;667,43675903;207,81860185;1.214,71968178;342,92220472;91,7;96;170,6;1.750,8;449,7;1.199,8;1.076,6;6.658,6;-0,0000947;-0,00009469;0,00018936;;;586,38160545;522,24193716;64,13966829;16.094,8;24.861,68875251;16.967,69590691;6.658,6;1.199,8;1.750,8;17.053,74095471;-1;0,00026008;0,00012131;0,00122317;;0,02258721;-0,00000061;-0,00000122;0,00000268;0,00772158;0,03984132;0,08327818;
1;100.000;10;1;20;0,11070617;10;10;10;0;20;0,69263651;176.643.036,30086958;844,11650744;93,38149619;750,73501126;-1;-1;7;0,99952432;0,99994735;0,0499286;7,65;7;9,49952522;9,50871377;1.447,8;1.394,8;1.394,15;234,9;2.180,45;62.685,4;7.815,05;1.418,25;715,55;1.983,45;10;5.738,85;242;24,5;267;376,5;1.542,05;0,2;10.535,9;10,7;0;0;32.604,65;21.078,35;21.812,7;20.643,15;2.698,05;4.719;2.127,25;34.100,4478595;22.347,95501832;11.007,30713698;797,25811708;228,29490898;1.509,21891948;359,28877886;112,95;120,2;199,9;2.135,25;549,7;1.690,3;1.340,55;8.884,95;-0,00005947;-0,00005947;0,00041625;;;911,23844214;810,35872772;100,87971442;20.643,15;32.431,13096321;21.795,61856608;8.884,95;1.690,3;2.135,25;21.948,15217959;-1;0,00019396;0,00008043;0,0017406;;0,02203336;-0,00000037;-0,00000077;0,00000585;0,01092006;0,04302674;0,07985005;
1;100.000;10;1;30;0,11217737;10;10;10;0;30;0,68137362;175.094.709,9710145;1.125,58146598;126,19610369;999,38536229;-1;-1;9;0,99960394;0,99995558;0,03321537;8;8;9,66811665;9,66587928;1.754,46666667;1.677,03333333;1.675,23333333;0;4.091,43333333;60.604,8;9.597,5;1.534;432,23333333;2.187,73333333;10;5.818,63333333;322;21;347;539,46666667;2.392,2;0,16666667;8.854,33333333;9,7;0;0;37.424,93333333;23.695,16666667;24.570,46666667;23.253,13333333;3.053,76666667;5.237,4;2.445,43333333;38.979,52773019;25.032,87940541;13.094,28386528;859,28987353;250,4485838;1.706,15141953;383,52567425;123,9;133,26666667;227,03333333;2.365,46666667;559,46666667;1.827,86666667;1.489,7;10.798,56666667;-0,00004401;-0,00004401;0,00039606;;;1.208,38151584;1.072,82845828;135,55305756;23.253,13333333;37.279,69628159;24.575,11962649;10.798,56666667;1.827,86666667;2.365,46666667;24.826,59624196;-1;0,00015472;0,00006168;0,00202882;;0,02203132;-0,00000028;-0,00000057;0,00000561;0,01292547;0,04344437;0,08146434;
